,0
0,606.513
1,159.224
2,166.9
3,497.905
4,117.773
5,117.698
6,113.841
7,606.513
8,751.869
9,547.758
10,192.48
11,191.654
12,962.454
13,606.513
14,120.212
15,221.547
16,62.925
17,107.351
18,91.153
19,6.728
20,430.545
21,448.037
22,444.769
23,466.886
24,487.612
25,481.823
26,934.223
27,710.47
28,17.076
29,123.233
30,130.484
31,141.559
32,133.548
33,194.865
34,112.706
35,606.513
36,966.674
37,750.532
38,114.943
39,1585.864
40,270.076
41,125.723
42,124.726
43,7.171
44,144.612
45,1308.868
46,1275.831
47,506.654
48,127.296
49,124.267
50,262.636
51,873.561
52,872.78
53,104.419
54,102.692
55,97.746
56,105.427
57,28.097
58,9.47
59,552.447
60,1442.068
61,1313.442
62,113.432
63,116.578
64,119.578
65,112.631
66,606.513
67,111.665
68,606.513
69,114.427
70,113.333
71,115.469
72,109.661
73,115.957
74,109.613
75,113.066
76,110.01
77,113.818
78,115.643
79,112.858
80,117.324
81,532.848
82,1.711
83,3.113
84,123.257
85,173.679
