,0
0,2809.118
1,2677.025
2,2602.513
3,2852.584
4,2853.915
5,2681.126
6,2683.603
7,2972.951
8,2688.097
9,2685.607
10,3426.3
11,2672.276
12,2664.149
13,2674.432
14,2669.352
15,2794.206
16,2879.219
17,2699.493
18,2674.995
19,2567.505
20,2735.776
21,2677.71
22,2701.262
23,2689.482
24,2673.35
25,2649.395
26,2677.811
27,2679.82
28,2742.936
29,2682.767
30,2725.61
31,2934.102
32,2669.905
33,2673.402
34,2672.476
35,2686.551
36,2672.928
37,2723.361
38,2678.334
39,2698.62
40,2775.532
41,2676.85
42,2680.054
43,2681.44
44,2672.52
45,2578.69
46,3144.128
47,2689.312
48,3285.07
49,3423.95
50,2688.621
51,2777.947
52,2676.109
53,2687.484
54,2676.335
55,2663.965
56,2680.498
