,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
0,"26 Dennis St, Gladstone, MB R0J 0T0, Canada",50.2256834,-98.9521314,"50.2256834,-98.9521314",ROOFTOP,ChIJ7zzHnUZc6FIRaz6ihfahzLw,"establishment,point_of_interest,store",R0J 0T0,"Box 25 17 B Dennis Street W Gladstone, MB R0J 0T0",1,OK
1,"2519 Portage Ave, Winnipeg, MB R3J 0P1, Canada",49.8751004,-97.2587403,"49.8751004,-97.2587403",RANGE_INTERPOLATED,Ei4yNTE5IFBvcnRhZ2UgQXZlLCBXaW5uaXBlZywgTUIgUjNKIDBQMSwgQ2FuYWRhIhsSGQoUChIJsaueCqgM6lIRGUaW0H_IgsoQ1xM,street_address,R3J 0P1,"2519 Portage Avenue Winnipeg, MB R3J 0P1",1,OK
2,"104 2 St NE, Altona, MB R0G 0B1, Canada",49.1061801,-97.55543259999999,"49.1061801,-97.55543259999999",RANGE_INTERPOLATED,EicxMDQgMiBTdCBORSwgQWx0b25hLCBNQiBSMEcgMEIxLCBDYW5hZGEiGhIYChQKEgm7fmG3WdPDUhEbXcwmutlDzhBo,street_address,R0G 0B1,"104 – 67 2nd Street NE Altona, MB R0G 0B0",1,OK
3,"D - 1229 Richmond Ave, Brandon, MB R7A 1M5, Canada",49.8278032,-99.95507289999999,"49.8278032,-99.95507289999999",ROOFTOP,ChIJOfd7rKiQ51IRovu88aNIehc,street_address,R7A 1M5,"D-1229 Richmond Avenue Brandon, MB R7A 1M5",1,OK
4,"2-20 18th St, Brandon, MB R7A 5A3, Canada",49.8490553,-99.9625636,"49.8490553,-99.9625636",ROOFTOP,EikyLTIwIDE4dGggU3QsIEJyYW5kb24sIE1CIFI3QSA1QTMsIENhbmFkYSIdGhsKFgoUChIJB9cyilmX51IR5YHR5jZxdfUSATI,subpremise,R7A 5A3,"20-18th Street, Unit 2 Brandon, MB R7A 5A3",1,OK
5,"1-995 McPhillips St, Winnipeg, MB R2X 2K3, Canada",49.9309225,-97.1668581,"49.9309225,-97.1668581",ROOFTOP,EjExLTk5NSBNY1BoaWxsaXBzIFN0LCBXaW5uaXBlZywgTUIgUjJYIDJLMywgQ2FuYWRhIh0aGwoWChQKEgmN7j98L3LqUhHKg5wyk_DjdRIBMQ,subpremise,R2X 2K3,"995 McPhillips Street, Unit 1 Winnipeg, MB R2X 2K3",1,OK
6,"1111 Munroe Ave, Winnipeg, MB R2K 3Z5, Canada",49.907744,-97.066836,"49.907744,-97.066836",ROOFTOP,ChIJEyyMQJZw6lIR3rW3S0_Nffo,street_address,R2K 3Z5,"106 – 1111 Munroe Avenue Winnipeg, MB R2K 3Z5",1,OK
7,"16-1450 Main St S, Valley River, MB R0L 2B0, Canada",51.1365096,-100.0606801,"51.1365096,-100.0606801",ROOFTOP,EjMxNi0xNDUwIE1haW4gU3QgUywgVmFsbGV5IFJpdmVyLCBNQiBSMEwgMkIwLCBDYW5hZGEiHhocChYKFAoSCR9wHSTw7uVSERHCejh3R8EeEgIxNg,subpremise,R0L 2B0,"Unit 16 – 1450 Main Street South Dauphin, MB R7N 3H4",1,OK
8,"8B-555 Traverse Rd, Ste. Anne, MB R5H 1B5, Canada",49.6707593,-96.6551645,"49.6707593,-96.6551645",ROOFTOP,EjE4Qi01NTUgVHJhdmVyc2UgUmQsIFN0ZS4gQW5uZSwgTUIgUjVIIDFCNSwgQ2FuYWRhIh4aHAoWChQKEgkRrnl6JC7AUhEfUXp9JDeSVxICOEI,subpremise,R5H 1B5,"Unit 8B – 555 Traverse Road
Ste. Anne, MB R5H 1B2",1,OK
9,"46 Stadacona St, Winnipeg, MB R2L 2C8, Canada",49.9075814,-97.11196240000001,"49.9075814,-97.11196240000001",ROOFTOP,ChIJJfn06hlx6lIRuobEalKkROo,street_address,R2L 2C8,"46 Stadacona Street Winnipeg, MB R2L 2C8",1,OK
10,"93 Main St, Flin Flon, MB R8A 1J9, Canada",54.7671226,-101.876651,"54.7671226,-101.876651",ROOFTOP,ChIJo3PaIFJw-FIRK1cbJP6vLzk,premise,R8A 1J9,"93 Main Street Flin Flon, MB R8A 1J9 tom.lindsey@yourmani",1,OK
11,"202-675 Pembina Hwy, Winnipeg, MB R3M 2L6, Canada",49.86129760000001,-97.1501382,"49.86129760000001,-97.1501382",ROOFTOP,ChIJl40MZxh06lIRJjOp9FRlljA,street_address,R3M 2L6,"202 – 1383 Pembina Highway Winnipeg, MB R3T 2BN",1,OK
12,"27-2855 Pembina Hwy, Winnipeg, MB R3T 2H5, Canada",49.7878226,-97.1587391,"49.7878226,-97.1587391",ROOFTOP,ChIJScDpWWXfwVIR5-lFkLTrj2o,street_address,R3T 2H5,"27 – 2855 Pembina Highway Winnipeg, MB R3T 2H5",1,OK
13,"565-1-692 Osborne St, Winnipeg, MB R3L 2B9, Canada",49.862387,-97.132009,"49.862387,-97.132009",ROOFTOP,EjI1NjUtMS02OTIgT3Nib3JuZSBTdCwgV2lubmlwZWcsIE1CIFIzTCAyQjksIENhbmFkYSIfGh0KFgoUChIJG45FaqJ26lIRfjRK1tJ15JYSAzU2NQ,subpremise,R3L 2B9,"565 1/2 Osborne Street Winnipeg, MB R3L 2B3",1,OK
14,"143-99 Scurfield Blvd, Winnipeg, MB R3Y 1M6, Canada",49.817626,-97.19197559999999,"49.817626,-97.19197559999999",ROOFTOP,EjMxNDMtOTkgU2N1cmZpZWxkIEJsdmQsIFdpbm5pcGVnLCBNQiBSM1kgMU02LCBDYW5hZGEiHxodChYKFAoSCRngWV0NdepSEf284RJqBs1ZEgMxNDM,subpremise,R3Y 1M6,Unit 143-99 Scurfield Blvd. Winnipeg MB R3Y 1Y1,1,OK
15,"662-356 River Rd, Arborg, MB R0C 0A0, Canada",50.9061568,-97.2194768,"50.9061568,-97.2194768",RANGE_INTERPOLATED,Eiw2NjItMzU2IFJpdmVyIFJkLCBBcmJvcmcsIE1CIFIwQyAwQTAsIENhbmFkYSIkGiIKGxIZChQKEgkri3oumpvrUhF4hY4EPTlLxhDkAhIDNjYy,subpremise,R0C 0A0,"Box 662, Unit 1 – 356 River Road Arborg, MB R0C 0A0 or 66 First Avenue Gimli, MB R0C 1B1",3,OK
16,"Wanipigow, MB R0E 2E0, Canada",51.190381,-96.3033009,"51.190381,-96.3033009",APPROXIMATE,ChIJQZgc-URVk1IRxI9yjsjF7bM,postal_code,R0E 2E0,"Box 2565 Wanipigow, MB R0E 2E0",1,OK
