,0
0,151.216
1,9.241
2,111.51
3,216.065
4,214.216
5,7.541
6,8.796
7,315.049
8,47.832
9,5.219
10,766.34
11,4.446
12,13.122
13,4.276
14,11.086
15,120.477
16,200.337
17,10.748
18,11.282
19,69.263
20,61.97
21,9.427
22,38.847
23,9.005
24,85.369
25,126.141
26,4.226
27,5.874
28,85.034
29,7.907
30,41.417
31,276.2
32,9.122
33,4.015
34,12.98
35,10.672
36,8.926
37,37.525
38,8.916
39,29.35
40,170.017
41,2.784
42,6.457
43,7.166
44,6.648
45,64.308
46,486.226
47,12.478
48,625.11
49,763.99
50,13.019
51,262.96
52,8.064
53,10.627
54,2.014
55,12.748
56,3.577
