,0
0,151.067
1,212.626
2,246.533
3,290.017
4,13.789
5,419.428
6,312.072
7,51.948
8,273.704
9,226.707
10,266.236
11,10.489
12,110.75
13,66.614
14,14.156
15,11.594
16,197.102
17,180.528
18,7.952
19,4.466
20,4.439
21,6032.689
22,6.787
23,419.058
24,0.0
25,4.672
26,7.767
27,2.132
28,1.789
29,3.606
30,22.698
31,38.524
32,65.144
33,343.523
34,102.649
35,89.181
36,139.911
37,87.536
38,102.058
39,394.076
40,158.142
41,6032.689
42,163.671
43,6032.689
44,146.896
45,24.123
46,17.78
47,392.911
48,396.613
49,10.403
50,94.265
51,398.472
52,23.949
53,301.738
