,0
0,1106.907
1,1176.272
2,599.013
3,602.235
4,662.98
5,589.766
6,661.626
7,611.816
8,593.95
9,761.964
10,646.165
11,683.526
12,625.344
13,1025.666
14,590.542
15,605.769
16,601.253
17,505.595
18,567.385
19,648.003
20,707.695
21,734.882
22,768.902
23,733.948
24,929.855
25,606.243
26,719.235
27,595.532
28,778.56
29,593.455
30,618.814
31,573.132
32,945.767
33,1373.26
34,610.126
35,1277.857
36,715.427
37,593.993
38,540.6
39,620.49
40,593.146
41,702.73
42,585.134
43,545.738
44,608.385
45,734.674
46,719.486
47,603.81
48,574.341
49,659.548
50,938.811
51,632.096
52,727.434
53,576.494
54,586.328
55,607.666
56,713.031
57,952.409
58,583.794
59,600.503
60,607.813
61,678.092
62,631.409
63,612.125
64,726.165
65,730.451
66,592.401
67,726.158
68,596.375
69,670.464
70,621.761
71,1113.04
72,602.375
73,592.377
74,617.451
75,631.956
76,593.257
77,592.321
78,740.001
79,544.774
80,611.107
81,635.116
82,588.724
83,482.09
84,752.143
85,603.961
86,704.87
87,737.728
88,650.047
89,1136.133
90,621.006
91,630.631
92,549.732
93,1014.33
94,903.501
95,605.851
96,950.557
97,594.355
98,646.876
99,1215.028
100,512.317
101,586.013
102,583.58
103,547.612
104,639.65
105,598.064
106,589.145
107,613.779
108,586.025
109,502.996
110,646.313
111,589.304
112,734.352
113,619.308
114,644.343
115,1206.656
116,581.135
117,729.625
118,630.66
119,593.804
120,584.791
121,602.533
122,613.023
123,587.771
124,1300.91
