,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
0,"Place du Québec, 888 3e Avenue Bureau 202, Val-d'Or, QC J9P 1T1, Canada",48.1035096,-77.7892854,"48.1035096,-77.7892854",ROOFTOP,EkhQbGFjZSBkdSBRdcOpYmVjLCA4ODggM2UgQXZlbnVlIEJ1cmVhdSAyMDIsIFZhbC1kJ09yLCBRQyBKOVAgMVQxLCBDYW5hZGEiJhokChYKFAoSCUXKxwcGU99MEW045mFdB3fsEgpCdXJlYXUgMjAy,subpremise,J9P 1T1,"888, 3e Avenue Bureau 202 Val-d'Or (Quebec) J9P 5E6",1,OK
1,"259 1re Ave O, Amos, QC J9T 1V1, Canada",48.5716687,-78.1210475,"48.5716687,-78.1210475",ROOFTOP,ChIJcyKit42SIE0RHgdtBT4K2VQ,street_address,J9T 1V1,"259, 1re Avenue Ouest Amos (Quebec) J9T 1V1",1,OK
2,"1600 Boul Henri-Bourassa O Bureau 540, Montréal, QC H3M 3E2, Canada",45.53653449999999,-73.67865549999999,"45.53653449999999,-73.67865549999999",ROOFTOP,EkQxNjAwIEJvdWwgSGVucmktQm91cmFzc2EgTyBCdXJlYXUgNTQwLCBNb250csOpYWwsIFFDIEgzTSAzRTIsIENhbmFkYSImGiQKFgoUChIJzYtqrYgYyUwRqp5l_raYQG0SCkJ1cmVhdSA1NDA,subpremise,H3M 3E2,"1600, boulevard Henri-Bourassa Ouest Bureau 540 Montréal (Quebec) H3M 3E2",1,OK
3,"7077 Rue Beaubien E Bureau 205, Montréal, QC H1M 3C8, Canada",45.5937616,-73.5576985,"45.5937616,-73.5576985",ROOFTOP,EjU3MDc3IFJ1ZSBCZWF1YmllbiBFIEJ1cmVhdSAyMDUsIE1vbnRyw6lhbCwgUUMsIENhbmFkYSImGiQKFgoUChIJLzqzY34eyUwR5_m9RpbraBYSCkJ1cmVhdSAyMDU,subpremise,H1M 3C8,"7077, rue Beaubien Est Bureau 205 Anjou (Quebec) H1M 2Y2",1,OK
4,"512 Rue Principale, Lachute, QC J8H 3X1, Canada",45.6567435,-74.3345358,"45.6567435,-74.3345358",ROOFTOP,ChIJ64aoD9vbzkwRZyZucqpsbCY,street_address,J8H 3X1,"512, rue Principale Lachute (Quebec) J8H 1Y3",1,OK
5,"201-21 Rue de la Gare, Victoriaville, QC G6P 3Z5, Canada",46.056404,-71.9582636,"46.056404,-71.9582636",ROOFTOP,EjgyMDEtMjEgUnVlIGRlIGxhIEdhcmUsIFZpY3RvcmlhdmlsbGUsIFFDIEc2UCAzWjUsIENhbmFkYSIfGh0KFgoUChIJQ-pJ1HoBuEwRl9g8AKsz_esSAzIwMQ,subpremise,G6P 3Z5,"21, rue de la Gare Suite 201 Victoriaville (Quebec) G6P 3Z3",1,OK
6,"452 Boulevard Vachon N, Sainte-Marie, QC G6E 1M1, Canada",46.4449181,-71.02517499999999,"46.4449181,-71.02517499999999",ROOFTOP,ChIJf-1N4YlWuEwRRExcPEJFTgI,street_address,G6E 1M1,"452, boulevard Vachon Nord Sainte-Marie (Quebec) G6E 1M1",1,OK
7,"1150 107e Rue Bureau 204, Saint-Georges, QC G5Y 8C3, Canada",46.1309987,-70.6782302,"46.1309987,-70.6782302",ROOFTOP,EjsxMTUwIDEwN2UgUnVlIEJ1cmVhdSAyMDQsIFNhaW50LUdlb3JnZXMsIFFDIEc1WSA4QzMsIENhbmFkYSImGiQKFgoUChIJk49ORr-_uUwRG70Zj-MLIeMSCkJ1cmVhdSAyMDQ,subpremise,G5Y 8C3,"1150, 107e Rue Bureau 204 Saint-Georges (Quebec) G5Y 8C3",1,OK
8,"157 Rue Victoria Bureau 100, Salaberry-de-Valleyfield, QC J6T 1A5, Canada",45.25649660000001,-74.1276888,"45.25649660000001,-74.1276888",ROOFTOP,EkkxNTcgUnVlIFZpY3RvcmlhIEJ1cmVhdSAxMDAsIFNhbGFiZXJyeS1kZS1WYWxsZXlmaWVsZCwgUUMgSjZUIDFBNSwgQ2FuYWRhIiYaJAoWChQKEgmfu2JiLk7JTBEkgA2196MdTBIKQnVyZWF1IDEwMA,subpremise,J6T 1A5,"157, rue Victoria Bureau 100 Salaberry-de-Valleyfield (Quebec) J6T 1A5",1,OK
9,"250a QC-279, Saint-Lazare-de-Bellechasse, QC G0R 3J0, Canada",46.6562138,-70.8104188,"46.6562138,-70.8104188",ROOFTOP,ChIJzfZxRq7juEwR-_rRr5yGy0A,street_address,G0R 3J0,"250 A, route 279 Saint-Lazare-de-Bellechasse (Quebec) G0R 3J0",1,OK
10,"61 Chemin de Lavaltrie, Lavaltrie, QC J5T 2H4, Canada",45.8916548,-73.29219739999999,"45.8916548,-73.29219739999999",ROOFTOP,ChIJuZrk60ftyEwR3pXGCS1Jd3k,premise,J5T 2H4,"61, chemin de Lavaltrie Lavaltrie (Quebec) J5T 2H4",1,OK
11,"197 Rue Principale E Bureau 101, Sainte-Agathe-des-Monts, QC J8C, Canada",46.0453656,-74.2791893,"46.0453656,-74.2791893",ROOFTOP,EkQxOTcgUnVlIFByaW5jaXBhbGUgRSBCdXJlYXUgMTAxLCBTYWludGUtQWdhdGhlLWRlcy1Nb250cywgUUMsIENhbmFkYSImGiQKFgoUChIJJ8qlUUsVz0wRyRfUQjO0saISCkJ1cmVhdSAxMDE,subpremise,J8C,"197, rue Principale Est Bureau 101 Sainte-Agathe-des-Monts (Quebec) J8C 1K5",1,OK
12,"369 Boulevard Adolphe-Chapleau Bureau 211, Bois-des-Filion, QC J6Z 1H1, Canada",45.6703591,-73.75512619999999,"45.6703591,-73.75512619999999",ROOFTOP,Ek4zNjkgQm91bGV2YXJkIEFkb2xwaGUtQ2hhcGxlYXUgQnVyZWF1IDIxMSwgQm9pcy1kZXMtRmlsaW9uLCBRQyBKNlogMUgxLCBDYW5hZGEiJhokChYKFAoSCfdcljaX2MhMEbBt0KSJPXgGEgpCdXJlYXUgMjEx,subpremise,J6Z 1H1,"369, boulevard Adolphe-Chapleau Bureau 211 Bois-des-Filion (Quebec) J6Z 1H1",1,OK
13,"314 Boulevard Perron, Maria, QC G0C 1Y0, Canada",48.1131725,-66.150272,"48.1131725,-66.150272",ROOFTOP,ChIJh-1XdnY1mEwRM-_v4nPQcwY,street_address,G0C 1Y0,"314E, boulevard Perron Carleton (Quebec) G0C 1J0",1,OK
14,"888 Rue Laurier, Beloeil, QC J3G 4K7, Canada",45.56918109999999,-73.2013329,"45.56918109999999,-73.2013329",ROOFTOP,ChIJAVZ8ONCqyUwRDM2LtV0C2zw,street_address,J3G 4K7,"888, rue Laurier Beloeil (Quebec) J3G 4K7",1,OK
15,"5879 Boul Henri-Bourassa E Suite 305, Montréal-Nord, QC H1G 2V1, Canada",45.6074096,-73.6193096,"45.6074096,-73.6193096",ROOFTOP,ChIJSzUMmaMfyUwR-JKMYsFDUG4,subpremise,H1G 2V1,"5879, boulevard Henri-Bourassa Est Bureau 305 Montréal-Nord (Quebec) H1G 2V1",1,OK
16,"6070 Rue Sherbrooke E 1er étage, Bureau 105, Montréal, QC H1N 1C1, Canada",45.5778294,-73.54543530000001,"45.5778294,-73.54543530000001",ROOFTOP,Eks2MDcwIFJ1ZSBTaGVyYnJvb2tlIEUgMWVyIMOpdGFnZSwgQnVyZWF1IDEwNSwgTW9udHLDqWFsLCBRQyBIMU4gMUMxLCBDYW5hZGEiMhowChYKFAoSCbMDVuM6HMlMEX5pOy1b1Z-DEhYxZXIgw6l0YWdlLCBCdXJlYXUgMTA1,subpremise,H1N 1C1,"6070, rue Sherbrooke Est 1er étage, Bureau 105 Montréal (Quebec) H1N 1C1",1,OK
