,0
0,2083.766
1,2594.526
2,1230.828
3,2224.021
4,1960.103
5,2246.379
6,2348.154
7,2552.025
8,2388.068
9,1991.221
10,1896.164
11,2127.72
12,2007.082
13,2174.428
14,2307.236
15,2112.379
16,2527.391
17,1972.422
18,1230.828
19,2549.27
20,2264.312
21,2139.295
22,1972.525
23,1972.77
24,2055.864
25,2312.032
26,2316.525
27,1991.563
28,1984.394
29,1986.519
30,1986.102
31,1983.608
32,1987.518
33,1230.828
34,1992.841
35,1992.841
36,1978.905
37,1992.841
38,1993.155
39,2240.057
40,2264.138
41,2314.085
42,2199.225
43,2191.735
44,2191.73
45,2200.477
46,2199.695
47,2200.876
48,2192.89
49,2199.339
50,2194.325
51,1230.828
52,2190.976
53,1230.828
54,2201.051
55,2198.904
56,1230.828
57,2393.464
58,1899.174
59,1892.265
60,2168.069
