,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
0,"121 Washington Ave, Davidson, SK S0G 1A0, Canada",51.2623356,-105.9908852,"51.2623356,-105.9908852",ROOFTOP,ChIJ10MyGWAVG1MRk_tl7hmE3t8,premise,S0G 1A0,"121 Washington Avenue Davidson,
SK",1,OK
1,"Lavoie St, Beauval, SK S0M 0G0, Canada",55.1468348,-107.6121053,"55.1468348,-107.6121053",GEOMETRIC_CENTER,ChIJQSHvuNfaq1MRJClS0E0l4QA,route,S0M 0G0,"Lavoie Street, Lot 8, Block P Beauval, SK",1,OK
2,,,,,,,,,"105 Highway #2 South Wakaw, SK",0,REQUEST_DENIED
3,"117 3rd St, Dalmeny, SK S0K 1E0, Canada",52.3406373,-106.7749122,"52.3406373,-106.7749122",RANGE_INTERPOLATED,EicxMTcgM3JkIFN0LCBEYWxtZW55LCBTSyBTMEsgMUUwLCBDYW5hZGEiGhIYChQKEgk7JhRMFFsEUxGYoECl199pHBB1,street_address,S0K 1E0,"117 3rd Street Dalmeny, SK",1,OK
4,"202 8 St W, Carlyle, SK S0C 0R0, Canada",49.633184,-102.277498,"49.633184,-102.277498",RANGE_INTERPOLATED,EicyMDIgOCBTdCBXLCBDYXJseWxlLCBTSyBTMEMgMFIwLCBDYW5hZGEiGxIZChQKEgkbLO-aR2vgUhF0zVeRVvHaKhDKAQ,street_address,S0C 0R0,"202 8th Street West Carlyle, SK",1,OK
5,"512 1st St, Kamsack, SK S0A 1S0, Canada",51.5630843,-101.9028934,"51.5630843,-101.9028934",ROOFTOP,ChIJL4K0cWp741IRvSBqtETC5Jo,"establishment,point_of_interest",S0A 1S0,"427 First Street Kamsack, SK",1,OK
6,"107 1 Ave E, Nipawin, SK S0E 1E0, Canada",53.3626537,-104.0167123,"53.3626537,-104.0167123",ROOFTOP,ChIJczlMHpxz_lIR5DEGYByXnHI,street_address,S0E 1E0,"107 First Avenue East Nipawin, SK",1,OK
7,"517 La Ronge Ave, La Ronge, SK S0J 1L0, Canada",55.0993873,-105.2953161,"55.0993873,-105.2953161",RANGE_INTERPOLATED,EiY1MTcgTGEgUm9uZ2UgQXZlLCBMYSBSb25nZSwgU0ssIENhbmFkYSIbEhkKFAoSCZ0DiLlwJVVSEXjjOl3WkRXaEIUE,street_address,S0J 1L0,"517 La Ronge Avenue La Ronge, SK",1,OK
8,"101 22 St, Battleford, SK S0M 0E0, Canada",52.7360436,-108.3053831,"52.7360436,-108.3053831",RANGE_INTERPOLATED,EikxMDEgMjIgU3QsIEJhdHRsZWZvcmQsIFNLIFMwTSAwRTAsIENhbmFkYSIaEhgKFAoSCf0PqgywBgZTETfceVz-5I6GEGU,street_address,S0M 0E0,"C 101-102 22nd Street Battleford, SK",1,OK
9,"379 Centre St, Shaunavon, SK S0N 2M0, Canada",49.646945,-108.4088149,"49.646945,-108.4088149",ROOFTOP,ChIJx9czmm-nFlMRiSG44sC9re0,premise,S0N 2M0,"379 Centre Street Shaunavon, SK",1,OK
10,"1175 Nicholson Rd #110, Estevan, SK S4A 2S7, Canada",49.152566,-103.0119394,"49.152566,-103.0119394",ROOFTOP,ChIJV5Ht7voiIFMRnvwHiGWkM3s,"establishment,health,point_of_interest",S4A 2S7,"110 – 1175 Nicholson Road Estevan, SK",1,OK
11,"107-D 3rd Ave E, Watrous, SK S0K 4T0, Canada",51.67321949999999,-105.4661548,"51.67321949999999,-105.4661548",ROOFTOP,ChIJN-p5j06tHFMRbKXSOp0cGEw,street_address,S0K 4T0,"107D 3rd Avenue East Watrous, SK",1,OK
12,"311 Grand Ave, Indian Head, SK S0G 2K0, Canada",50.530969,-103.6666125,"50.530969,-103.6666125",ROOFTOP,ChIJ41-4UG91HlMRFCL9PeCfDTQ,street_address,S0G 2K0,"311 Grand Avenue Indian Head, SK",1,OK
