,0
0,146.216
1,656.975
2,1818.406
3,286.471
4,199.924
5,269.816
6,362.952
7,601.109
8,400.689
9,349.529
10,197.843
11,176.805
12,72.057
13,197.865
14,452.974
15,135.815
16,535.488
17,69.982
18,1818.406
19,554.007
20,279.11
21,228.789
22,70.085
23,69.588
24,224.212
25,361.117
26,365.61
27,6.892
28,2.653
29,4.952
30,10.514
31,2.286
32,5.112
33,1818.406
34,7.566
35,7.566
36,3.13
37,7.566
38,16.592
39,308.225
40,326.587
41,363.17
42,261.674
43,254.184
44,254.179
45,262.926
46,262.144
47,263.325
48,255.339
49,261.789
50,256.775
51,1818.406
52,253.425
53,1818.406
54,263.5
55,261.353
56,1818.406
57,394.529
58,118.649
59,173.942
60,191.505
