,0
0,315.327
1,266.163
2,120.614
3,390.568
4,1566.412
5,1566.412
6,1566.412
7,289.876
8,303.786
9,299.962
10,297.547
11,298.399
12,1566.412
13,292.863
14,306.962
15,297.723
16,309.48
17,1566.412
18,1566.412
19,314.68
20,294.126
21,317.723
22,294.945
23,1566.412
24,285.866
25,283.839
26,300.288
27,309.339
28,315.827
29,314.68
30,294.126
31,312.259
32,94.56
33,1566.412
34,549.17
35,335.732
36,1566.412
37,145.588
38,282.35
39,3302.325
40,12.984
41,1.829
42,1566.412
43,16.143
44,1566.412
45,1566.412
46,6.844
47,16.174
48,1566.412
49,16.265
50,10.4
51,7.252
52,7.619
53,10.328
54,16.578
55,17.523
56,1566.412
57,1566.412
58,1566.412
59,440.063
60,1566.412
61,102.635
62,461.318
63,454.539
64,335.974
65,182.94
66,69.177
67,125.109
68,33.098
69,251.961
70,505.519
71,502.135
72,357.958
73,69.416
74,36.019
75,211.428
76,671.866
77,153.015
78,153.632
79,254.975
80,1566.412
81,29.131
82,16.05
83,1566.412
84,514.8
85,206.765
86,202.23
