,0
0,2141.738
1,2295.237
2,2254.612
3,2207.836
4,2327.989
5,1926.323
6,1946.624
7,1971.196
8,2144.408
9,2011.07
10,2026.423
11,2024.124
12,2019.389
13,2024.065
14,2026.423
15,1920.529
16,2073.857
17,2022.939
18,2185.897
19,2192.755
20,1988.32
21,2011.68
22,2184.704
23,2196.557
24,2197.46
25,2140.379
26,2141.939
27,2132.781
28,2136.04
29,2132.093
30,1971.928
31,2037.042
32,1986.664
33,2005.222
34,2230.968
35,2269.502
36,2136.726
37,2001.338
38,1993.241
39,2026.423
40,1982.548
41,2162.848
42,2026.239
43,2154.402
44,2026.423
45,2271.616
46,2032.395
47,1870.297
