Place Name,Lat,Long
Abbotsford,49.0534589,-122.3386667
Abitibi—Baie-James—Nunavik—Eeyou,48.103531,-77.7894841
Abitibi—Témiscamingue,48.2399189,-79.0243087
Acadie—Bathurst,47.7887334,-64.9646099
Ahuntsic-Cartierville,45.5405154,-73.6541677
Ajax,43.854439,-79.0598572
Alfred-Pellan,45.593546,-73.666968
Algoma—Manitoulin—Kapuskasing,46.381258,-82.659835
Argenteuil—La Petite-Nation,45.5864318,-75.4160922
Aurora—Oak Ridges—Richmond Hill,43.9401265,-79.4541713
Avalon,47.5188571,-52.957187
Avignon—La Mitis—Matane—Matapédia,48.4641067,-67.4246779
Banff—Airdrie,51.293151,-114.022131
Barrie—Innisfil,44.3474003,-79.664858
Barrie—Springwater—Oro-Medonte,44.411283,-79.6802046
Battle River—Crowfoot,53.0215,-112.824506
Battlefords—Lloydminster,53.2767875,-109.9798319
Bay of Quinte,44.1629325,-77.3996351
Beaches—East York,43.6850169,-79.3166941
Beauce,46.4428252,-71.0227255
Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,47.0215823,-70.9323779
Beauport—Limoilou,46.846897,-71.2143317
Beauséjour,46.2194779,-64.5455651
Bellechasse—Les Etchemins—Lévis,46.788257,-71.165669
Beloeil—Chambly,45.4465095,-73.2868437
Berthier—Maskinongé,46.2555099,-72.9467173
Bonavista—Burin—Trinity,47.1008848,-55.7531191
Bourassa,45.6171897,-73.6294772
Bow River,50.5660786,-111.9010575
Brampton Centre,43.6882254,-79.7373586
Brampton East,43.7373873,-79.7001001
Brampton North,43.7519623,-79.7428354
Brampton South,43.6327504,-79.7842165
Brampton West,43.7014048,-79.7971908
Brandon—Souris,49.8394101,-99.9517698
Brantford—Brant,43.1547362,-80.2728295
Brome—Missisquoi,45.2661035,-72.1522645
Brossard—Saint-Lambert,45.4671015,-73.4664624
Bruce—Grey—Owen Sound,44.5704869,-80.9410093
Burlington,43.348115,-79.7945088
Burnaby North—Seymour,49.2806203,-123.0182201
Burnaby South,49.2263849,-122.9937088
Bécancour—Nicolet—Saurel,45.997106,-73.1707904
Calgary Centre,51.0397832,-114.0814909
Calgary Confederation,51.0701368,-114.0845245
Calgary Forest Lawn,51.0480703,-113.9910216
Calgary Heritage,50.9639317,-114.0734542
Calgary Midnapore,50.9111462,-114.0635293
Calgary Nose Hill,51.1416284,-114.0728748
Calgary Rocky Ridge,51.1298924,-114.2009792
Calgary Shepard,50.9408593,-113.9722465
Calgary Signal Hill,51.0613786,-114.2101259
Calgary Skyview,51.0861712,-113.9989784
Cambridge,43.4006419,-80.326359
Cape Breton—Canso,46.211266,-60.0223376
Cardigan,46.1655116,-62.6492375
Cariboo—Prince George,53.9181972,-122.7496743
Carleton,45.2260423,-75.6843609
Carlton Trail—Eagle Creek,52.27926,-106.669421
Central Nova,45.6228913,-61.9869693
Central Okanagan—Similkameen—Nicola,49.8298397,-119.6345495
Charlesbourg—Haute-Saint-Charles,46.8648889,-71.2699945
Charleswood—St. James—Assiniboia—Headingley,49.880071,-97.2839621
Charlottetown,46.2362945,-63.1301678
Chatham-Kent—Leamington,42.0507822,-82.6002618
Chicoutimi—Le Fjord,48.4270157,-71.0687773
Chilliwack—Hope,49.1361106,-121.9585151
Churchill—Keewatinook Aski,55.7440418,-97.8521903
Châteauguay—Lacolle,45.3595743,-73.7224818
Cloverdale—Langley City,49.1191332,-122.6902923
Coast of Bays—Central—Notre Dame,48.957167,-54.6071021
Compton—Stanstead,45.369586,-71.8574748
Coquitlam—Port Coquitlam,49.27105,-122.7903703
Courtenay—Alberni,49.3067292,-124.2626758
Cowichan—Malahat—Langford,48.7791006,-123.7087974
Cumberland—Colchester,45.8326804,-64.211592
Cypress Hills—Grasslands,50.2827614,-107.8000724
Dartmouth—Cole Harbour,44.6796076,-63.5360902
Dauphin—Swan River—Neepawa,51.1365096,-100.0606801
Davenport,43.6593952,-79.4382631
Delta,49.0900471,-123.0831681
Desnethé—Missinippi—Churchill River,54.1314275,-108.4368655
Don Valley East,43.7622573,-79.3527353
Don Valley North,43.771816,-79.3308209
Don Valley West,43.7075266,-79.3762397
Dorval—Lachine—LaSalle,45.4345934,-73.6704304
Drummond,45.8835559,-72.4883274
Dufferin—Caledon,,
Durham,43.9119619,-78.6872489
Edmonton Centre,53.5602463,-113.5670034
Edmonton Griesbach,53.5849261,-113.4959202
Edmonton Manning,53.6206107,-113.4664379
Edmonton Mill Woods,53.4583365,-113.4718178
Edmonton Riverbend,53.4688108,-113.5892963
Edmonton Strathcona,53.5168494,-113.4908508
Edmonton West,53.5480616,-113.6266959
Edmonton—Wetaskiwin,53.4222679,-113.476204
Eglinton—Lawrence,43.7188839,-79.4304373
Egmont,46.390438,-63.791339
Elgin—Middlesex—London,42.7779381,-81.1860581
Elmwood—Transcona,49.907744,-97.066836
Esquimalt—Saanich—Sooke,48.448183,-123.400388
Essex,42.1748864,-82.8245727
Etobicoke Centre,43.6445622,-79.5688167
Etobicoke North,43.7341707,-79.5591586
Etobicoke—Lakeshore,43.6364917,-79.5206919
Flamborough—Glanbrook,43.1914111,-80.0406562
Fleetwood—Port Kells,49.1552798,-122.7761826
Foothills,50.5792122,-113.8728514
Fort McMurray—Cold Lake,56.7266974,-111.3858187
Fredericton,45.9635895,-66.6431151
Fundy Royal,45.5245801,-65.8290706
Gaspésie—Les Îles-de-la-Madeleine,48.3955866,-64.4909239
Gatineau,45.48272,-75.687346
Glengarry—Prescott—Russell,45.5516784,-75.288231
Grande Prairie—Mackenzie,55.1683631,-118.8155136
Guelph,43.5450767,-80.2452441
Haldimand—Norfolk,42.83535,-80.3048419
Haliburton—Kawartha Lakes—Brock,44.3472711,-78.7624534
Halifax,44.6493234,-63.5783004
Halifax West,44.7316994,-63.6595475
Hamilton Centre,43.2489908,-79.8453409
Hamilton East—Stoney Creek,43.2162256,-79.7562412
Hamilton Mountain,43.2411909,-79.8517755
Hamilton West—Ancaster—Dundas,43.2578696,-79.934484
Hastings—Lennox and Addington,44.1923521,-77.4078423
Hochelaga,45.550358,-73.542698
Honoré-Mercier,45.6386139,-73.5806631
Hull—Aylmer,45.4269278,-75.7151092
Humber River—Black Creek,43.7523676,-79.5368973
Huron—Bruce,43.7441439,-81.7073091
Joliette,46.0257231,-73.440904
Jonquière,48.4249407,-71.1824705
Kamloops—Thompson—Cariboo,50.6747876,-120.3347753
Kanata—Carleton,45.3490575,-75.9194816
Kelowna—Lake Country,49.8883073,-119.4921095
Kenora,49.7662803,-94.4886965
Kildonan—St. Paul,49.959091,-97.0923959
Kingston and the Islands,44.2402019,-76.5089538
Kings—Hants,45.0927597,-64.3607414
King—Vaughan,43.8356142,-79.5318033
Kitchener Centre,43.4536232,-80.4814477
Kitchener South—Hespeler,43.4134796,-80.4721948
Kitchener—Conestoga,43.4054079,-80.5020466
Kootenay—Columbia,49.5124792,-115.769961
La Pointe-de-l'Île,45.6525124,-73.5166279
La Prairie,45.3871967,-73.5485837
LaSalle—Émard—Verdun,45.4544655,-73.5946213
Labrador,53.2975907,-60.3292464
Lac-Saint-Jean,48.55007,-71.6527289
Lac-Saint-Louis,45.460731,-73.8255102
Lakeland,53.7105094,-111.7429026
Lambton—Kent—Middlesex,42.9578187,-81.6263707
Lanark—Frontenac—Kingston,45.1414008,-76.1481026
Langley—Aldergrove,49.0888182,-122.6090282
Laurentides—Labelle,46.0461934,-74.2816846
Laurier—Sainte-Marie,45.5160422,-73.559421
Laval—Les Îles,45.5285442,-73.8209561
