,0
0,4323.827
1,415.676
2,524.251
3,1057.009
4,194.388
5,408.142
6,193.419
7,647.099
8,39.731
9,394.487
10,2716.668
11,835.493
12,3352.832
13,457.904
14,409.259
15,3384.466
16,3200.533
17,270.243
18,444.66
19,476.573
20,478.109
21,448.981
22,1203.349
23,448.543
24,235.41
25,284.62
26,2768.429
27,202.328
28,3145.269
29,417.547
30,408.91
31,413.714
32,422.518
33,424.746
34,2362.67
35,550.532
36,319.399
37,206.444
38,566.697
39,500.364
40,4357.614
41,4348.886
42,275.274
43,3333.355
44,3330.285
45,3325.342
46,3319.801
47,3314.581
48,3336.155
49,3356.744
50,3313.801
51,3338.073
52,3326.25
53,526.706
54,1662.588
55,1391.943
56,4191.106
57,36.736
58,2945.12
59,1458.769
60,4078.595
61,447.825
62,2165.195
63,1342.71
64,783.281
65,649.066
66,4344.043
67,2899.73
68,192.945
69,4330.247
70,2400.066
71,353.79
72,4349.467
73,4466.483
74,4416.271
75,1244.628
76,2820.358
77,1434.5
78,2463.946
79,452.16
80,4344.002
81,3223.705
82,436.028
83,432.184
84,442.796
85,192.47
86,304.913
87,4293.081
88,377.113
89,3455.442
90,3448.856
91,3450.888
92,3462.031
93,3465.168
94,3453.682
95,3460.191
96,3461.844
97,445.776
98,1312.828
99,637.553
100,2135.759
101,4357.084
102,789.283
103,459.629
104,452.858
105,463.755
106,530.599
107,4330.929
108,3326.66
109,3766.595
110,1010.687
111,1119.317
112,1145.723
113,9.84
114,39.912
115,3903.14
116,526.056
117,595.276
118,318.649
119,1437.471
120,1427.601
121,517.825
122,519.243
123,519.345
124,517.535
125,266.424
126,205.942
127,203.033
128,2.053
129,396.568
130,657.71
131,248.402
132,651.139
133,3964.949
134,24.57
135,4065.178
136,1925.448
137,2143.819
138,197.638
139,1499.548
140,399.136
141,541.365
142,539.577
143,541.927
144,3589.436
145,209.41
146,208.255
147,198.646
148,1957.766
149,665.222
150,174.522
151,3361.819
152,662.526
153,52.728
154,4332.706
155,182.216
156,201.996
157,188.171
158,113.856
159,3198.738
160,627.965
161,628.458
162,623.799
163,2047.79
164,207.73
165,208.395
166,435.76
167,442.154
168,429.87
169,936.689
170,1326.819
171,848.404
172,180.578
173,368.729
174,376.686
175,375.817
176,3035.967
177,488.488
178,164.152
179,1015.02
180,4330.145
181,469.059
182,468.952
183,481.239
184,466.194
185,466.35
186,472.112
187,1177.485
188,223.83
189,201.229
190,500.228
191,2645.249
192,191.206
193,426.04
194,4434.594
195,24.22
196,812.469
197,4344.927
198,403.802
199,581.944
200,572.053
201,541.193
202,487.315
203,358.395
204,4532.624
205,3898.83
206,4364.018
207,334.69
208,4875.079
209,198.839
210,0
211,486.408
212,491.81
213,19.387
214,392.076
215,2.751
216,8.299
217,12.669
218,5.062
219,196.26
220,575.361
221,194.514
222,458.843
223,344.654
224,3562.637
225,585.158
226,271.907
227,411.451
228,227.062
229,176.111
230,4347.419
231,15.611
232,4347.707
233,2094.017
234,422.936
235,2975.892
236,4102.8
237,2115.674
238,442.196
239,3467.177
240,3505.515
241,2729.819
242,2689.962
243,2715.54
244,147.015
245,208.686
246,4351.553
247,380.518
248,358.38
249,737.179
250,166.805
251,167.061
252,197.689
253,4332.682
254,1417.943
255,2135.63
256,1111.922
257,255.207
258,235.133
259,188.773
260,200.066
261,350.525
262,158.869
263,723.503
264,2929.922
265,2923.628
266,2925.977
267,792.064
268,433.609
269,427.397
270,429.716
271,431.028
272,424.196
273,420.002
274,2136.768
275,275.388
276,345.932
277,3439.883
278,426.948
279,457.003
280,4561.853
281,2408.913
282,4057.009
283,1518.969
284,4318.31
285,453.02
286,3463.807
287,560.182
288,2733.688
289,2723.354
290,4351.977
291,103.303
292,3493.794
293,483.491
294,4335.578
295,4331.748
296,1644.104
297,198.708
298,386.377
299,1460.808
300,1450.804
301,172.735
302,718.438
303,957.818
304,450.208
305,444.08
306,315.964
307,448.25
308,4363.595
309,4358.727
310,4359.59
311,4352.486
312,4360.823
313,4353.657
314,159.769
315,396.839
316,4359.084
317,197.124
318,185.637
319,546.148
320,539.821
321,1290.837
322,4383.011
323,399.083
324,439.519
325,802.633
326,798.014
327,2142.35
328,2153.041
329,2139.994
330,2138.464
331,3654.367
332,451.878
333,2600.606
334,410.882
335,5433.112
