,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
0,"205-2825 Clearbrook Rd, Abbotsford, BC V2T 6S3, Canada",49.0534589,-122.3386667,"49.0534589, -122.3386667",ROOFTOP,EjYyMDUtMjgyNSBDbGVhcmJyb29rIFJkLCBBYmJvdHNmb3JkLCBCQyBWMlQgNlMzLCBDYW5hZGEiHxodChYKFAoSCRlYpHVJNYRUEQrNp65SD8-IEgMyMDU,subpremise,V2T 6S3,"Abbotsford
2825 Clearbrook Road
Suite 205
Abbotsford BC  V2T 6S3",1,OK
1,"Val-d'Or, QC J9P 5E6, Canada",48.103531,-77.7894841,"48.103531, -77.7894841",APPROXIMATE,ChIJhZt3CwZT30wRDj4ltjt0vnE,postal_code,J9P 5E6,"Val-d'Or
888 3rd Avenue
Suite 204
Val-d'Or QC  J9P 5E6",1,OK
2,"Rue Gamble O, Rouyn-Noranda, QC J9X, Canada",48.2399189,-79.0243087,"48.2399189, -79.02430869999999",GEOMETRIC_CENTER,ChIJHZj1gZszIU0RKgVu51kFuKM,route,J9X,"Rouyn-Noranda
33-A Gamble Street West
RC 15
Rouyn-Noranda QC  J9X 2R3",1,OK
3,"220 W St Peter Boulevard. #314, Caraquet, NB E1W 1A5, Canada",47.7887334,-64.9646099,"47.7887334, -64.9646099",ROOFTOP,ChIJ-bNI8uLTmEwRgiCHb6DZLvU,subpremise,E1W 1A5,"Caraquet
220 St-Pierre Blvd West
Suite 314
Caraquet NB  E1W 1A5",1,OK
4,"225 Rue Chabanel O #1109, Montréal, QC H2N 2C9, Canada",45.5405154,-73.6541677,"45.5405154, -73.6541677",ROOFTOP,ChIJLa2V_u4YyUwRdSSXyEf9aj4,subpremise,H2N 2C9,"Montréal
225 Chabanel West
Suite 1109
Montréal QC  H2N 2C9",1,OK
5,"1-100 Old Kingston Rd, Ajax, ON L1T 2Z5, Canada",43.854439,-79.0598572,"43.85443900000001, -79.0598572",ROOFTOP,Ei8xLTEwMCBPbGQgS2luZ3N0b24gUmQsIEFqYXgsIE9OIEwxVCAyWjUsIENhbmFkYSIdGhsKFgoUChIJ9bfI7qHf1IkR3NvzagIwbtQSATE,subpremise,L1T 2Z5,"Ajax
100 Old Kingston Road
Suite 1
Ajax ON  L1T 2Z9",1,OK
6,"3131 Boulevard de la Concorde E #300, Laval, QC H7E 4W4, Canada",45.593546,-73.666968,"45.593546, -73.666968",ROOFTOP,ChIJkwXe-tshyUwRYGFGcdKD1bI,subpremise,H7E 4W4,"Laval
3131 de la Concorde East
Suite 300
Laval QC  H7E 4W4",1,OK
7,"289 Hillside Dr S, Elliot Lake, ON P5A 1N7, Canada",46.381258,-82.659835,"46.381258, -82.659835",ROOFTOP,ChIJAWP6Rj8OMU0RMIoA5s_cF-4,street_address,P5A 1N7,"Elliot Lake
289-A Hillside Drive South
Elliot Lake ON  P5A 1N7",1,OK
8,"104 Rue Maclaren E, Gatineau, QC J8L 1K1, Canada",45.5864318,-75.4160922,"45.5864318, -75.4160922",ROOFTOP,ChIJCQNAmC8-zkwR0iIvRei34O0,premise,J8L 1K1,"Gatineau
104 Maclaren Street East
Gatineau QC  J8L 1K1",1,OK
9,"12820 Yonge St #202, Richmond Hill, ON L4E 4H1, Canada",43.9401265,-79.4541713,"43.9401265, -79.4541713",ROOFTOP,ChIJ__-vUM_VKogRO8lfjwCOpzs,subpremise,L4E 4H1,"Richmond Hill
12820 Yonge Street
Suite 202
Richmond Hill ON  L4E 4H1",1,OK
