,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
0,"Beachside, NL A0J 1T0, Canada",49.498851,-56.0687389,"49.498851,-56.0687389",APPROXIMATE,ChIJwb8IdNfTeUsRE9-DJeRzoWA,postal_code,A0J 1T0,A0J 1T0,1,OK
1,"Bonavista, NL A0C 1B0, Canada",48.6250935,-53.14447639999999,"48.6250935,-53.14447639999999",APPROXIMATE,ChIJjTnxeVmpdUsRcqbi-IElz14,postal_code,A0C 1B0,A0C 1B0,1,OK
2,"Channel-Port aux Basques, NL A0M 1C0, Canada",47.5879849,-59.05823869999999,"47.5879849,-59.05823869999999",APPROXIMATE,ChIJ80QgPXKkZUsRq_E_a4KdHws,postal_code,A0M 1C0,A0M 1C0,1,OK
3,"Fortune, NL A0E 1P0, Canada",47.0743521,-55.8398453,"47.0743521,-55.8398453",APPROXIMATE,ChIJiQTvNpyFbUsR4vOqMTUQWJU,postal_code,A0E 1P0,A0E 1P0,1,OK
4,"St. John's, NL A1B 4J6, Canada",47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,postal_code,A1B 4J6,A1B 4J6,1,OK
5,"Carbonear, NL A1Y 1A6, Canada",47.7156114,-53.2372147,"47.7156114,-53.2372147",APPROXIMATE,ChIJm9CoFMVRc0sRO9O9nqbdlJs,postal_code,A1Y 1A6,A1Y 1A6,1,OK
6,"Forteau, NL A0K 2P0, Canada",51.4810116,-56.891801,"51.4810116,-56.891801",APPROXIMATE,ChIJT-Vv2gUEgUsRzXmnXVlxw2E,postal_code,A0K 2P0,A0K 2P0,1,OK
7,"St. John's, NL A1B 4J6, Canada",47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,postal_code,A1B 4J6,A1B 4J6,1,OK
8,"Conception Bay South, NL A1W 3A6, Canada",47.518959,-52.9591174,"47.518959,-52.9591174",APPROXIMATE,ChIJYXxJHhi6DEsRal5F14Cp18U,postal_code,A1W 3A6,A1W 3A6,1,OK
9,"Corner Brook, NL A2H 6J8, Canada",48.9552717,-57.94372449999999,"48.9552717,-57.94372449999999",APPROXIMATE,ChIJm6gHwvCxe0sRcp2FE3aNkZQ,postal_code,A2H 6J8,A2H 6J8,1,OK
10,"Bishop's Falls, NL A0H 1C0, Canada",48.7807839,-55.3675915,"48.7807839,-55.3675915",APPROXIMATE,ChIJQbSz0R89d0sRooRi5u5Sdec,postal_code,A0H 1C0, A0H 1C0,1,OK
11,"Ferryland, NL A0A 2H0, Canada",47.03685249999999,-52.8879459,"47.03685249999999,-52.8879459",APPROXIMATE,ChIJ_4X1iuMBDUsRK1xViZ9j6EY,postal_code,A0A 2H0,A0A 2H0,1,OK
12,"Wesleyville, NL A0G 4R0, Canada",49.1533435,-53.5611615,"49.1533435,-53.5611615",APPROXIMATE,ChIJ3wpmHpXhdUsRtvxkN2voyek,postal_code,A0G 4R0,A0G 4R0,1,OK
13,"Newfoundland and Labrador A0H, Canada",49.104051,-56.468182,"49.104051,-56.468182",APPROXIMATE,ChIJSw4l-sXkcEsRdwfT_BMFpAw,"postal_code,postal_code_prefix",A0H,A0H 2P0,1,OK
14,"Gander, NL A1V 1T5, Canada",48.9590259,-54.6137918,"48.9590259,-54.6137918",APPROXIMATE,ChIJy0DlUfTydksRegdY3OrjAvM,postal_code,A1V 1T5,A1V 1T5,1,OK
15,"Grand Falls-Windsor, NL A2A 1W9, Canada",48.9389423,-55.6621003,"48.9389423,-55.6621003",APPROXIMATE,ChIJVUrI6W86d0sRhIVerF87t14,postal_code,A2A 1W9,A2A 1W9,1,OK
16,"St. John's, NL A1B 4J6, Canada",47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,postal_code,A1B 4J6,A1B 4J6,1,OK
17,"Holyrood, NL A0A 2R0, Canada",47.3727312,-53.1159058,"47.3727312,-53.1159058",APPROXIMATE,ChIJV5z4HrTEDEsRKmsPp_LcQXg,postal_code,A0A 2R0,A0A 2R0,1,OK
18,"Corner Brook, NL A2H 6J8, Canada",48.9552717,-57.94372449999999,"48.9552717,-57.94372449999999",APPROXIMATE,ChIJm6gHwvCxe0sRcp2FE3aNkZQ,postal_code,A2H 6J8,A2H 6J8,1,OK
19,"Deer Lake, NL A8A 2G5, Canada",49.1888527,-57.41388879999999,"49.1888527,-57.41388879999999",APPROXIMATE,ChIJKVTBhPsseksR6dYlwtAhV9A,postal_code,A8A 2G5,A8A 2G5,1,OK
20,"Wabush, NL A0R 1B0, Canada",52.886688,-66.86053989999999,"52.886688,-66.86053989999999",APPROXIMATE,ChIJSyXu8xe1ikwR-M0orZC4kGI,postal_code,A0R 1B0,A0R 1B0,1,OK
21,"Happy Valley-Goose Bay, NL A0P 1E0, Canada",53.298578,-60.33276490000001,"53.298578,-60.33276490000001",APPROXIMATE,ChIJqViMlJB5e0wRZyxVrSnlzD0,postal_code,A0P 1E0,A0P 1E0,1,OK
22,"Lewisporte, NL A0G 3A0, Canada",49.1325316,-55.2250193,"49.1325316,-55.2250193",APPROXIMATE,ChIJ3TVJVaQHd0sR9JiTw5BR8IE,postal_code,A0G 3A0,A0G 3A0,1,OK
23,"St. John's, NL A1B 4J6, Canada",47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,postal_code,A1B 4J6,A1B 4J6,1,OK
24,"St. John's, NL A1B 4J6, Canada",47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,postal_code,A1B 4J6,A1B 4J6,1,OK
25,"St. John's, NL A1B 4J6, Canada",47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,postal_code,A1B 4J6,A1B 4J6,1,OK
26,"St. John's, NL A1B 4J6, Canada",47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,postal_code,A1B 4J6,A1B 4J6,1,OK
27,"Placentia, NL A0B 2Y0, Canada",47.085127,-53.8898452,"47.085127,-53.8898452",APPROXIMATE,ChIJdY7lxQzOcksR0hBHfUYZjiw,postal_code,A0B 2Y0, A0B 2Y0,1,OK
28,"St. John's, NL A1B 4J6, Canada",47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,postal_code,A1B 4J6,A1B 4J6,1,OK
29,"St. John's, NL A1B 4J6, Canada",47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,postal_code,A1B 4J6,A1B 4J6,1,OK
30,"800 W Laurel St, Independence, KS 67301, USA",37.2256055,-95.7162018,"37.2256055,-95.7162018",ROOFTOP,ChIJJ7DaD0cruIcRILKt06GMNBE,"doctor,establishment,health,point_of_interest",67301,,1,OK
31,"800 W Laurel St, Independence, KS 67301, USA",37.2256055,-95.7162018,"37.2256055,-95.7162018",ROOFTOP,ChIJJ7DaD0cruIcRILKt06GMNBE,"doctor,establishment,health,point_of_interest",67301,,1,OK
32,"St. John's, NL A1B 4J6, Canada",47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,postal_code,A1B 4J6, A1B 4J6,1,OK
33,"Stephenville, NL A2N 3J3, Canada",48.54484679999999,-58.57915989999999,"48.54484679999999,-58.57915989999999",APPROXIMATE,ChIJZ8-SBDAje0sRYecPARNw6_0,postal_code,A2N 3J3,A2N 3J3,1,OK
34,"Clarenville, NL A5A 1T5, Canada",48.1645638,-53.9903632,"48.1645638,-53.9903632",APPROXIMATE,ChIJ4SczEHZ4dEsRllEP4gzIEmI,postal_code,A5A 1T5,A5A 1T5,1,OK
35,"Paradise, NL A1L 0V8, Canada",47.544021,-52.86951389999999,"47.544021,-52.86951389999999",APPROXIMATE,ChIJ51TmdCG7DEsRG4-Muo8WpxA,postal_code,A1L 0V8,A1L 0V8,1,OK
36,"800 W Laurel St, Independence, KS 67301, USA",37.2256055,-95.7162018,"37.2256055,-95.7162018",ROOFTOP,ChIJJ7DaD0cruIcRILKt06GMNBE,"doctor,establishment,health,point_of_interest",67301,,1,OK
37,"St. John's, NL A1B 4J6, Canada",47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,postal_code,A1B 4J6,A1B 4J6,1,OK
38,"St. John's, NL A1B 4J6, Canada",47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,postal_code,A1B 4J6, A1B 4J6,1,OK
39,"800 W Laurel St, Independence, KS 67301, USA",37.2256055,-95.7162018,"37.2256055,-95.7162018",ROOFTOP,ChIJJ7DaD0cruIcRILKt06GMNBE,"doctor,establishment,health,point_of_interest",67301,,1,OK
