,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
0,"Mississauga, ON L5S 1V9, Canada",43.6790822,-79.67090929999999,"43.6790822,-79.67090929999999",APPROXIMATE,ChIJ7YO9iME-K4gRVDOXQ29VPxY,postal_code,L5S 1V9,L5S 1V9,1,OK
1,"Toronto, ON M6C 1B9, Canada",43.6804586,-79.4307414,"43.6804586,-79.4307414",APPROXIMATE,ChIJtbX9MX80K4gR3tBE-KIB-pY,postal_code,M6C 1B9,M6C 1B9,1,OK
2,"London, ON N5W 5C9, Canada",42.9880094,-81.1680315,"42.9880094,-81.1680315",APPROXIMATE,ChIJt1oFvqvyLogRAflaG01yi5U,postal_code,N5W 5C9,N5W 5C9,1,OK
3,"Fergus, ON N1M 1P9, Canada",43.7067804,-80.3770868,"43.7067804,-80.3770868",APPROXIMATE,ChIJAcKieA2-K4gR_mIxBpsG9lM,postal_code,N1M 1P9,N1M 1P9,1,OK
4,"Kingston, ON K7K 5W7, Canada",44.2322657,-76.4837773,"44.2322657,-76.4837773",APPROXIMATE,ChIJDaqXj_-q0kwR6XtGMa5jAtA,postal_code,K7K 5W7,K7K 5W7,1,OK
5,"North York, ON M3H 2T1, Canada",43.7531238,-79.4507869,"43.7531238,-79.4507869",APPROXIMATE,ChIJy4Hr8AwyK4gRb8O2QixDxX0,postal_code,M3H 2T1,M3H 2T1,1,OK
6,"Scarborough, ON M1S 4R5, Canada",43.7837055,-79.2878356,"43.7837055,-79.2878356",APPROXIMATE,ChIJQfpJon_R1IkRolr1d-v-zFM,postal_code,M1S 4R5,M1S 4R5,1,OK
7,"Point Edward, ON N7V 1X6, Canada",42.9962965,-82.3959907,"42.9962965,-82.3959907",APPROXIMATE,ChIJfzp-0a6cJYgRzTsE68FNreU,postal_code,N7V 1X6,N7V 1X6,1,OK
8,"Simcoe, ON N3Y 3N6, Canada",42.8380704,-80.3040743,"42.8380704,-80.3040743",APPROXIMATE,ChIJEfUxK9lNLIgRpvijH6TTvGg,postal_code,N3Y 3N6,N3Y 3N6,1,OK
9,"Scarborough, ON M1M 1P2, Canada",43.7266657,-79.2315459,"43.7266657,-79.2315459",APPROXIMATE,ChIJb8vHw8TP1IkRjFs6WaYiakc,postal_code,M1M 1P2,M1M 1P2,1,OK
10,"Toronto, ON M6G 1L5, Canada",43.6635475,-79.417903,"43.6635475,-79.417903",APPROXIMATE,ChIJuYKRTfM0K4gRkwXd3YbDoOM,postal_code,M6G 1L5,M6G 1L5,1,OK
11,"Toronto, ON M4C 1J2, Canada",43.68418279999999,-79.31865289999999,"43.68418279999999,-79.31865289999999",APPROXIMATE,ChIJjzPqnG7M1IkRw0zVz-WA3kA,postal_code,M4C 1J2,M4C 1J2,1,OK
12,"Pickering, ON L1V 1C3, Canada",43.8455448,-79.0789811,"43.8455448,-79.0789811",APPROXIMATE,ChIJISnNrRvf1IkRjEhXaerw8b8,postal_code,L1V 1C3,L1V 1C3,1,OK
