,0
0,34.798
1,5.46
2,186.137
3,108.072
4,262.206
5,14.186
6,21.912
7,290.353
8,148.483
9,18.255
10,2.97
11,6.883
12,41.518
13,689.082
14,466.185
15,103.71
16,832.544
17,945.384
18,135.682
19,46.29
20,24.67
21,12.991
22,337.99
23,53.82
24,452.751
25,14.191
26,42.621
27,26.774
28,97.243
29,131.031
30,146.323
31,54.541
32,343.3
33,99.661
34,114.637
35,21.565
36,451.417
37,60.974
38,435.423
39,155.89
40,128.924
41,420.153
42,56.093
43,2.975
44,1374.269
45,367.021
46,406.509
47,146.593
48,447.733
49,127.883
50,20.839
51,364.69
52,317.666
53,16.161
54,69.442
55,30.38
56,83.007
57,24.758
58,97.104
59,7.396
60,18.542
61,191.902
62,89.161
63,231.627
64,221.676
65,29.652
66,43.176
67,108.116
68,434.257
69,1751.472
70,538.626
71,9.846
72,20.847
73,434.399
74,60.672
75,309.399
76,228.082
77,226.285
78,184.737
79,70.947
80,16.386
81,1379.414
82,1566.093
83,2.881
84,59.586
85,354.957
86,297.686
87,4253.904
88,93.631
89,29.134
90,75.836
91,44.085
92,152.723
93,46.609
94,108.523
95,22.705
96,23.662
97,1848.458
98,1695.272
99,1711.358
100,443.737
101,685.254
102,38.312
103,47.93
104,40.24
105,193.276
106,95.602
107,131.609
108,72.299
109,504.632
110,42.703
111,45.048
112,80.34
113,140.955
114,188.853
115,112.001
116,4.81
117,25.506
118,5.188
119,43.702
120,72.944
121,29.196
122,198.416
123,222.122
124,34.778
125,49.239
126,381.029
127,583.828
128,517.346
129,32.49
130,190.869
131,394.489
132,147.117
133,88.783
134,7.813
135,386.513
136,46.764
137,203.057
