Name,Party,District,coordinates,distance to PEI Parl.,,,,,,,
Colin LaVieʠ,Progressive Conservative,Souris-Elmira,"46.421, -62.244",86.634,,,,,,,
Steven Myers,Progressive Conservative,Georgetown-Pownal,"0,0",0,,,,,,,
Cory Deagle,Progressive Conservative,Montague-Kilmuir,"46.137, -62.587",51.846,,,,,,,
Darlene Compton,Progressive Conservative,Belfast-Murray River,"46.045, -62.729",46.405,,,,,,,
Michele Beaton,Green,Mermaid-Stratford,"46.226, -62.922",18.647,,,,,,,
James Aylward,Progressive Conservative,Stratford-Keppoch,"0,0",0,,,,,,,
Sidney MacEwen,Progressive Conservative,Morell-Donagh,"0,0",0,,,,,,,
Bloyce Thompson,Progressive Conservative,Stanhope-Marshfield,"46.361, -63.12	",17.025,,,,,,,
Natalie Jameson,Progressive Conservative,Charlottetown-Hillsborough Park,"46.276, -63.106",6.939,,,,,,,
Zack Bell,Progressive Conservative,Charlottetown-Winsloe,"46.273, -63.153	",6.492,,,,,,,
Hannah Bell,Green,Charlottetown-Belvedere,"0,0",0,,,,,,,
Karla Bernard,Green,Charlottetown-Victoria Park,"46.235, -63.128",0.586,,,,,,,
Ole Hammarlund,Green,Charlottetown-Brighton,"46.24, -63.142	",2.432,,,,,,,
Gord McNeilly,Liberal,Charlottetown-West Royalty,"46.262, -63.169",6.279,,,,,,,
Dennis King,Progressive Conservative,Brackley-Hunter River,"46.345, -63.235",16.992,,,,,,,
Heath MacDonald,Liberal,Cornwall-Meadowbank,"46.237, -63.209	",11.399,,,,,,,
Peter Bevan-Baker,Green,New Haven-Rocky Point,"0,0",0,,,,,,,
Brad Trivers,Progressive Conservative,Rustico-Emerald,"46.379, -63.334",27,,,,,,,
Jamie Fox,Progressive Conservative,Borden-Kinkora,"46.284, -63.59",49.118,,,,,,,
Matthew MacKay,Progressive Conservative,Kensington-Malpeque,"46.484, -63.661",54.512,,,,,,,
Lynne Lund,Green,Summerside-Wilmot,"46.404, -63.773	",62.292,,,,,,,
Steve Howard,Green,Summerside-South Drive,"46.412, -63.802	",63.756,,,,,,,
Trish Altass,Green,Tyne Valley-Sherbrooke,"0,0",0,,,,,,,
Sonny Gallant,Liberal,Evangeline-Miscouche,"46.447, -64.011",79.131,,,,,,,
Robert Henderson,Liberal,O'Leary-Inverness,"46.68, -64.226	",117.599,,,,,,,
Ernie Hudson,Progressive Conservative,Alberton-Bloomfield,"0,0",0,,,,,,,
Hal Perry,Liberal,Tignish-Palmer Road,"46.95, -64.05	",140.955,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
