,0
0,759.624
1,828.99
2,256.955
3,244.978
4,315.697
5,117.612
6,55.378
7,102.845
8,310.517
9,61.452
10,218.209
11,336.243
12,263.642
13,558.659
14,217.91
15,248.512
16,243.996
17,246.242
18,234.563
19,124.291
20,438.321
21,9.428
22,37.625
23,15.51
24,204.977
25,269.838
26,18.724
27,274.62
28,78.049
29,265.238
30,275.784
31,149.095
32,220.889
33,641.984
34,279.127
35,690.3
36,441.596
37,254.217
38,222.158
39,268.691
40,245.108
41,441.406
42,285.737
43,248.547
44,271.98
45,3.787
46,8.687
47,246.553
48,150.092
49,216.263
50,213.934
51,226.318
52,15.726
53,248.277
54,253.028
55,250.676
56,365.748
57,227.532
58,246.599
59,252.418
60,268.847
61,147.017
62,264.924
63,103.938
64,14.918
65,29.94
66,264.184
67,0.0
68,268.158
69,162.329
70,249.954
71,403.722
72,253.854
73,249.559
74,265.104
75,288.925
76,258.436
77,231.356
78,11.305
79,178.804
80,274.701
81,140.38
82,260.507
83,249.97
84,404.861
85,250.06
86,452.339
87,58.569
88,302.764
89,404.857
90,234.728
91,208.268
92,159.342
93,313.82
94,202.991
95,269.446
96,258.106
97,251.839
98,249.625
99,867.746
100,234.187
101,257.796
102,197.374
103,269.897
104,292.367
105,259.845
106,248.47
107,269.75
108,261.925
109,231.897
110,307.33
111,241.2
112,1.94
113,252.507
114,128.735
115,514.205
116,241.212
117,9.111
118,309.748
119,233.182
120,256.574
121,249.354
122,269.006
123,252.206
124,1150.014
