Honorific,First name,Last name,Gender,Office type,Address - incomeplete,City,Province,Address -postcode,Office email,Email,Telephone,Fax,Toll-free,TTY,Riding name,Party,,formatted_address,,latitude,longitude,coordinates,google_place_id,type,postcode,input_string,number_of_results,status,,distane to ON parl.
,Deepak,Anand,Male ,Constituency office,"Unit 11
7895 Tranmere Dr.
",Mississauga,ON,L5S 1V9,,deepak.anand@pc.ola.org,905-696-0367,905-696-7545 ,,,Mississauga—Malton,Progressive Conservative Party of Ontario,0,"Mississauga, ON L5S 1V9, Canada",,43.6790822,-79.6709093,"43.6790822,-79.67090929999999",ChIJ7YO9iME-K4gRVDOXQ29VPxY,postal_code,L5S 1V9,L5S 1V9,1,OK,,34.798
,Jill,Andrew,Female ,Constituency office,"803 St. Clair Ave. W
",Toronto,ON,M6C 1B9,JAndrew-CO@ndp.on.ca,JAndrew-QP@ndp.on.ca,416-656-0943  ,416-656-0875  ,,,Toronto—St. Paul's,New Democratic Party of Ontario,1,"Toronto, ON M6C 1B9, Canada",,43.6804586,-79.4307414,"43.6804586,-79.4307414",ChIJtbX9MX80K4gR3tBE-KIB-pY,postal_code,M6C 1B9,M6C 1B9,1,OK,,5.46
,Teresa,Armstrong,Female ,Constituency office,"155 Clarke Rd.
",London,ON,N5W 5C9,tarmstrong-co@ndp.on.ca,tarmstrong-qp@ndp.on.ca,519-668-1104  ,519-668-1941 ,,,London—Fanshawe,New Democratic Party of Ontario,2,"London, ON N5W 5C9, Canada",,42.9880094,-81.1680315,"42.9880094,-81.1680315",ChIJt1oFvqvyLogRAflaG01yi5U,postal_code,N5W 5C9,N5W 5C9,1,OK,,186.137
Hon.,Ted,Arnott,Male ,Constituency office,"2nd Floor
181 St. Andrew St. E
",Fergus,ON,N1M 1P9,ted.arnottco@pc.ola.org,ted.arnott@pc.ola.org,519-787-5247 ,519-787-5249,1-800-265-2366,,Wellington—Halton Hills,Progressive Conservative Party of Ontario,3,"Fergus, ON N1M 1P9, Canada",,43.7067804,-80.3770868,"43.7067804,-80.3770868",ChIJAcKieA2-K4gR_mIxBpsG9lM,postal_code,N1M 1P9,N1M 1P9,1,OK,,108.072
,Ian,Arthur,Male ,Constituency office,"The LaSalle Mews

Suite 2
303 Bagot St.
",Kingston,ON,K7K 5W7,IArthur-CO@ndp.on.ca,IArthur-QP@ndp.on.ca,613-547-2385,613-547-5001,,,Kingston and the Islands,New Democratic Party of Ontario,4,"Kingston, ON K7K 5W7, Canada",,44.2322657,-76.4837773,"44.2322657,-76.4837773",ChIJDaqXj_-q0kwR6XtGMa5jAtA,postal_code,K7K 5W7,K7K 5W7,1,OK,,262.206
,Roman,Baber,Male ,Constituency office,"830 Sheppard Ave. W.
",Toronto,ON,M3H 2T1,,roman.baber@pc.ola.org,416-630-0080,416-630-8828,,,York Centre,Progressive Conservative Party of Ontario,5,"North York, ON M3H 2T1, Canada",,43.7531238,-79.4507869,"43.7531238,-79.4507869",ChIJy4Hr8AwyK4gRb8O2QixDxX0,postal_code,M3H 2T1,M3H 2T1,1,OK,,14.186
,Aris,Babikian,Male ,Constituency office,"Suite 207
4002 Sheppard Ave. E
",Scarborough,ON,M1S 4R5,,aris.babikian@pc.ola.org,416-297-6568,416-297-4962,,,Scarborough—Agincourt,Progressive Conservative Party of Ontario,6,"Scarborough, ON M1S 4R5, Canada",,43.7837055,-79.2878356,"43.7837055,-79.2878356",ChIJQfpJon_R1IkRolr1d-v-zFM,postal_code,M1S 4R5,M1S 4R5,1,OK,,21.912
,Robert,Bailey,Male ,Constituency office,"Suite 102
805 Christina St. N
",Point Edward,ON,N7V 1X6,bob.baileyco@pc.ola.org,bob.bailey@pc.ola.org,519-337-0051,519-337-3246,,,Sarnia—Lambton,Progressive Conservative Party of Ontario,7,"Point Edward, ON N7V 1X6, Canada",,42.9962965,-82.3959907,"42.9962965,-82.3959907",ChIJfzp-0a6cJYgRzTsE68FNreU,postal_code,N7V 1X6,N7V 1X6,1,OK,,290.353
,Toby,Barrett,Male ,Constituency office,"39 Norfolk St. N
",Simcoe,ON,N3Y 3N6,toby.barrett@pc.ola.org,,519-428-0446,519-428-0835,,,Haldimand—Norfolk,Progressive Conservative Party of Ontario,8,"Simcoe, ON N3Y 3N6, Canada",,42.8380704,-80.3040743,"42.8380704,-80.3040743",ChIJEfUxK9lNLIgRpvijH6TTvGg,postal_code,N3Y 3N6,N3Y 3N6,1,OK,,148.483
,Doly,Begum,Female ,Constituency office,"Unit 5A
3110 Kingston Rd.
",Scarborough,ON,M1M 1P2,DBegum-CO@ndp.on.ca,DBegum-QP@ndp.on.ca,416-261-9525,416-261-0381,,,Scarborough Southwest,New Democratic Party of Ontario,9,"Scarborough, ON M1M 1P2, Canada",,43.7266657,-79.2315459,"43.7266657,-79.2315459",ChIJb8vHw8TP1IkRjFs6WaYiakc,postal_code,M1M 1P2,M1M 1P2,1,OK,,18.255
