District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Office type,Phone,Fax,Office type,Address,Phone,,formatted_address,,latitude,longitude,coordinates,google_place_id,type,postcode,input_string,number_of_results,status,distance from Quebec Prov Parli.
Abitibi-Est,MNA,Pierre Dufour,Pierre,Dufour,,Coalition avenir Québec,Pierre.Dufour.ABES@assnat.qc.ca,legislature,1 418 643-7295,,constituency,"888, 3e Avenue Bureau 202 Val-d'Or (Quebec) J9P 5E6",1 819 824-3333,0,"Place du Québec, 888 3e Avenue Bureau 202, Val-d'Or, QC J9P 1T1, Canada",,48.1035096,-77.7892854,"48.1035096,-77.7892854",EkhQbGFjZSBkdSBRdcOpYmVjLCA4ODggM2UgQXZlbnVlIEJ1cmVhdSAyMDIsIFZhbC1kJ09yLCBRQyBKOVAgMVQxLCBDYW5hZGEiJhokChYKFAoSCUXKxwcGU99MEW045mFdB3fsEgpCdXJlYXUgMjAy,subpremise,J9P 1T1,"888, 3e Avenue Bureau 202 Val-d'Or (Quebec) J9P 5E6",1,OK,1106.907
Abitibi-Ouest,MNA,Suzanne Blais,Suzanne,Blais,,Coalition avenir Québec,Suzanne.Blais.ABOU@assnat.qc.ca,legislature,1 581 628-1857,,constituency,"259, 1re Avenue Ouest Amos (Quebec) J9T 1V1",1 819 444-5007,1,"259 1re Ave O, Amos, QC J9T 1V1, Canada",,48.5716687,-78.1210475,"48.5716687,-78.1210475",ChIJcyKit42SIE0RHgdtBT4K2VQ,street_address,J9T 1V1,"259, 1re Avenue Ouest Amos (Quebec) J9T 1V1",1,OK,1176.272
Acadie,MNA,Christine St-Pierre,Christine,St-Pierre,,Parti libéral du Québec,Christine.St-Pierre.ACAD@assnat.qc.ca,legislature,1 581 628-1773,,constituency,"1600, boulevard Henri-Bourassa Ouest Bureau 540 Montréal (Quebec) H3M 3E2",1 514 337-4278,2,"1600 Boul Henri-Bourassa O Bureau 540, Montréal, QC H3M 3E2, Canada",,45.5365345,-73.6786555,"45.53653449999999,-73.67865549999999",EkQxNjAwIEJvdWwgSGVucmktQm91cmFzc2EgTyBCdXJlYXUgNTQwLCBNb250csOpYWwsIFFDIEgzTSAzRTIsIENhbmFkYSImGiQKFgoUChIJzYtqrYgYyUwRqp5l_raYQG0SCkJ1cmVhdSA1NDA,subpremise,H3M 3E2,"1600, boulevard Henri-Bourassa Ouest Bureau 540 Montréal (Quebec) H3M 3E2",1,OK,599.013
Anjou-Louis-Riel,MNA,Lise Thériault,Lise,Thériault,,Parti libéral du Québec,ltheriault-anjo@assnat.qc.ca,legislature,1 581 628-1775,,constituency,"7077, rue Beaubien Est Bureau 205 Anjou (Quebec) H1M 2Y2",1 514 493-9630,3,"7077 Rue Beaubien E Bureau 205, Montréal, QC H1M 3C8, Canada",,45.5937616,-73.5576985,"45.5937616,-73.5576985",EjU3MDc3IFJ1ZSBCZWF1YmllbiBFIEJ1cmVhdSAyMDUsIE1vbnRyw6lhbCwgUUMsIENhbmFkYSImGiQKFgoUChIJLzqzY34eyUwR5_m9RpbraBYSCkJ1cmVhdSAyMDU,subpremise,H1M 3C8,"7077, rue Beaubien Est Bureau 205 Anjou (Quebec) H1M 2Y2",1,OK,602.235
Argenteuil,MNA,Agnès Grondin,Agnès,Grondin,,Coalition avenir Québec,Agnes.Grondin.ARGE@assnat.qc.ca,legislature,1 418 528-6379,,constituency,"512, rue Principale Lachute (Quebec) J8H 1Y3",1 450 562-0785,4,"512 Rue Principale, Lachute, QC J8H 3X1, Canada",,45.6567435,-74.3345358,"45.6567435,-74.3345358",ChIJ64aoD9vbzkwRZyZucqpsbCY,street_address,J8H 3X1,"512, rue Principale Lachute (Quebec) J8H 1Y3",1,OK,662.98
Arthabaska,MNA,Éric Lefebvre,Éric,Lefebvre,,Coalition avenir Québec,Eric.Lefebvre.ARTH@assnat.qc.ca,legislature,1 418 643-6018,,constituency,"21, rue de la Gare Suite 201 Victoriaville (Quebec) G6P 3Z3",1 819 758-7440,5,"201-21 Rue de la Gare, Victoriaville, QC G6P 3Z5, Canada",,46.056404,-71.9582636,"46.056404,-71.9582636",EjgyMDEtMjEgUnVlIGRlIGxhIEdhcmUsIFZpY3RvcmlhdmlsbGUsIFFDIEc2UCAzWjUsIENhbmFkYSIfGh0KFgoUChIJQ-pJ1HoBuEwRl9g8AKsz_esSAzIwMQ,subpremise,G6P 3Z5,"21, rue de la Gare Suite 201 Victoriaville (Quebec) G6P 3Z3",1,OK,589.766
Beauce-Nord,MNA,Luc Provençal,Luc,Provençal,,Coalition avenir Québec,Luc.Provencal.BENO@assnat.qc.ca,legislature,1 418 643-5016,,constituency,"452, boulevard Vachon Nord Sainte-Marie (Quebec) G6E 1M1",1 418 387-2044,6,"452 Boulevard Vachon N, Sainte-Marie, QC G6E 1M1, Canada",,46.4449181,-71.025175,"46.4449181,-71.02517499999999",ChIJf-1N4YlWuEwRRExcPEJFTgI,street_address,G6E 1M1,"452, boulevard Vachon Nord Sainte-Marie (Quebec) G6E 1M1",1,OK,661.626
Beauce-Sud,MNA,Samuel Poulin,Samuel,Poulin,,Coalition avenir Québec,Samuel.Poulin.BESU@assnat.qc.ca,legislature,1 418 263-0645,,constituency,"1150, 107e Rue Bureau 204 Saint-Georges (Quebec) G5Y 8C3",1 418 226-4570,7,"1150 107e Rue Bureau 204, Saint-Georges, QC G5Y 8C3, Canada",,46.1309987,-70.6782302,"46.1309987,-70.6782302",EjsxMTUwIDEwN2UgUnVlIEJ1cmVhdSAyMDQsIFNhaW50LUdlb3JnZXMsIFFDIEc1WSA4QzMsIENhbmFkYSImGiQKFgoUChIJk49ORr-_uUwRG70Zj-MLIeMSCkJ1cmVhdSAyMDQ,subpremise,G5Y 8C3,"1150, 107e Rue Bureau 204 Saint-Georges (Quebec) G5Y 8C3",1,OK,611.816
Beauharnois,MNA,Claude Reid,Claude,Reid,,Coalition avenir Québec,Claude.Reid.BEAU@assnat.qc.ca,legislature,1 418 644-7844,,constituency,"157, rue Victoria Bureau 100 Salaberry-de-Valleyfield (Quebec) J6T 1A5",1 450 377-3131,8,"157 Rue Victoria Bureau 100, Salaberry-de-Valleyfield, QC J6T 1A5, Canada",,45.2564966,-74.1276888,"45.25649660000001,-74.1276888",EkkxNTcgUnVlIFZpY3RvcmlhIEJ1cmVhdSAxMDAsIFNhbGFiZXJyeS1kZS1WYWxsZXlmaWVsZCwgUUMgSjZUIDFBNSwgQ2FuYWRhIiYaJAoWChQKEgmfu2JiLk7JTBEkgA2196MdTBIKQnVyZWF1IDEwMA,subpremise,J6T 1A5,"157, rue Victoria Bureau 100 Salaberry-de-Valleyfield (Quebec) J6T 1A5",1,OK,593.95
Bellechasse,MNA,Stéphanie Lachance,Stéphanie,Lachance,,Coalition avenir Québec,Stephanie.Lachance.BELL@assnat.qc.ca,legislature,1 581 628-1781,,constituency,"250 A, route 279 Saint-Lazare-de-Bellechasse (Quebec) G0R 3J0",1 418 883-1343,9,"250a QC-279, Saint-Lazare-de-Bellechasse, QC G0R 3J0, Canada",,46.6562138,-70.8104188,"46.6562138,-70.8104188",ChIJzfZxRq7juEwR-_rRr5yGy0A,street_address,G0R 3J0,"250 A, route 279 Saint-Lazare-de-Bellechasse (Quebec) G0R 3J0",1,OK,761.964
Berthier,MNA,Caroline Proulx,Caroline,Proulx,,Coalition avenir Québec,Caroline.Proulx.BERH@assnat.qc.ca,legislature,1 418 528-8063,,constituency,"61, chemin de Lavaltrie Lavaltrie (Quebec) J5T 2H4",1 450 586-3171,10,"61 Chemin de Lavaltrie, Lavaltrie, QC J5T 2H4, Canada",,45.8916548,-73.2921974,"45.8916548,-73.29219739999999",ChIJuZrk60ftyEwR3pXGCS1Jd3k,premise,J5T 2H4,"61, chemin de Lavaltrie Lavaltrie (Quebec) J5T 2H4",1,OK,646.165
Bertrand,MNA,Nadine Girault,Nadine,Girault,,Coalition avenir Québec,Nadine.Girault.BERR@assnat.qc.ca,legislature,1 418 649-2319,,constituency,"197, rue Principale Est Bureau 101 Sainte-Agathe-des-Monts (Quebec) J8C 1K5",1 819 321-1676,11,"197 Rue Principale E Bureau 101, Sainte-Agathe-des-Monts, QC J8C, Canada",,46.0453656,-74.2791893,"46.0453656,-74.2791893",EkQxOTcgUnVlIFByaW5jaXBhbGUgRSBCdXJlYXUgMTAxLCBTYWludGUtQWdhdGhlLWRlcy1Nb250cywgUUMsIENhbmFkYSImGiQKFgoUChIJJ8qlUUsVz0wRyRfUQjO0saISCkJ1cmVhdSAxMDE,subpremise,J8C,"197, rue Principale Est Bureau 101 Sainte-Agathe-des-Monts (Quebec) J8C 1K5",1,OK,683.526
Blainville,MNA,Mario Laframboise,Mario,Laframboise,,Coalition avenir Québec,Mario.Laframboise.BLAI@assnat.qc.ca,legislature,1 418 263-0613,,constituency,"369, boulevard Adolphe-Chapleau Bureau 211 Bois-des-Filion (Quebec) J6Z 1H1",1 450 430-8086,12,"369 Boulevard Adolphe-Chapleau Bureau 211, Bois-des-Filion, QC J6Z 1H1, Canada",,45.6703591,-73.7551262,"45.6703591,-73.75512619999999",Ek4zNjkgQm91bGV2YXJkIEFkb2xwaGUtQ2hhcGxlYXUgQnVyZWF1IDIxMSwgQm9pcy1kZXMtRmlsaW9uLCBRQyBKNlogMUgxLCBDYW5hZGEiJhokChYKFAoSCfdcljaX2MhMEbBt0KSJPXgGEgpCdXJlYXUgMjEx,subpremise,J6Z 1H1,"369, boulevard Adolphe-Chapleau Bureau 211 Bois-des-Filion (Quebec) J6Z 1H1",1,OK,625.344
