District name,,,,Office type,Address,,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,postcode,input_string,number_of_results,status,distance to SK parli. (1230.828 is NULL**)
Arm River,,,,constituency,"121 Washington Avenue Davidson,
SK",0,"121 Washington Ave, Davidson, SK S0G 1A0, Canada",51.2623356,-105.9908852,"51.2623356,-105.9908852",ROOFTOP,ChIJ10MyGWAVG1MRk_tl7hmE3t8,S0G 1A0,"121 Washington Avenue Davidson,
SK",1,OK,2083.766
Athabasca,,,,constituency,"Lavoie Street, Lot 8, Block P Beauval, SK",1,"Lavoie St, Beauval, SK S0M 0G0, Canada",55.1468348,-107.6121053,"55.1468348,-107.6121053",GEOMETRIC_CENTER,ChIJQSHvuNfaq1MRJClS0E0l4QA,S0M 0G0,"Lavoie Street, Lot 8, Block P Beauval, SK",1,OK,2594.526
Batoche,,,,constituency,"105 Highway #2 South Wakaw, SK",2,,,,,,,,"105 Highway #2 South Wakaw, SK",0,REQUEST_DENIED,1230.828
Biggar-Sask Valley,,,,constituency,"117 3rd Street Dalmeny, SK",3,"117 3rd St, Dalmeny, SK S0K 1E0, Canada",52.3406373,-106.7749122,"52.3406373,-106.7749122",RANGE_INTERPOLATED,EicxMTcgM3JkIFN0LCBEYWxtZW55LCBTSyBTMEsgMUUwLCBDYW5hZGEiGhIYChQKEgk7JhRMFFsEUxGYoECl199pHBB1,S0K 1E0,"117 3rd Street Dalmeny, SK",1,OK,2224.021
Cannington,,,,constituency,"202 8th Street West Carlyle, SK",4,"202 8 St W, Carlyle, SK S0C 0R0, Canada",49.633184,-102.277498,"49.633184,-102.277498",RANGE_INTERPOLATED,EicyMDIgOCBTdCBXLCBDYXJseWxlLCBTSyBTMEMgMFIwLCBDYW5hZGEiGxIZChQKEgkbLO-aR2vgUhF0zVeRVvHaKhDKAQ,S0C 0R0,"202 8th Street West Carlyle, SK",1,OK,1960.103
Canora-Pelly,,,,constituency,"427 First Street Kamsack, SK",5,"512 1st St, Kamsack, SK S0A 1S0, Canada",51.5630843,-101.9028934,"51.5630843,-101.9028934",ROOFTOP,ChIJL4K0cWp741IRvSBqtETC5Jo,S0A 1S0,"427 First Street Kamsack, SK",1,OK,2246.379
Carrot River Valley,,,,constituency,"107 First Avenue East Nipawin, SK",6,"107 1 Ave E, Nipawin, SK S0E 1E0, Canada",53.3626537,-104.0167123,"53.3626537,-104.0167123",ROOFTOP,ChIJczlMHpxz_lIR5DEGYByXnHI,S0E 1E0,"107 First Avenue East Nipawin, SK",1,OK,2348.154
Cumberland,,,,constituency,"517 La Ronge Avenue La Ronge, SK",7,"517 La Ronge Ave, La Ronge, SK S0J 1L0, Canada",55.0993873,-105.2953161,"55.0993873,-105.2953161",RANGE_INTERPOLATED,EiY1MTcgTGEgUm9uZ2UgQXZlLCBMYSBSb25nZSwgU0ssIENhbmFkYSIbEhkKFAoSCZ0DiLlwJVVSEXjjOl3WkRXaEIUE,S0J 1L0,"517 La Ronge Avenue La Ronge, SK",1,OK,2552.025
Cut Knife-Turtleford,,,,constituency,"C 101-102 22nd Street Battleford, SK",8,"101 22 St, Battleford, SK S0M 0E0, Canada",52.7360436,-108.3053831,"52.7360436,-108.3053831",RANGE_INTERPOLATED,EikxMDEgMjIgU3QsIEJhdHRsZWZvcmQsIFNLIFMwTSAwRTAsIENhbmFkYSIaEhgKFAoSCf0PqgywBgZTETfceVz-5I6GEGU,S0M 0E0,"C 101-102 22nd Street Battleford, SK",1,OK,2388.068
Cypress Hills,,,,constituency,"379 Centre Street Shaunavon, SK",9,"379 Centre St, Shaunavon, SK S0N 2M0, Canada",49.646945,-108.4088149,"49.646945,-108.4088149",ROOFTOP,ChIJx9czmm-nFlMRiSG44sC9re0,S0N 2M0,"379 Centre Street Shaunavon, SK",1,OK,1991.221
Estevan,,,,constituency,"110 – 1175 Nicholson Road Estevan, SK",10,"1175 Nicholson Rd #110, Estevan, SK S4A 2S7, Canada",49.152566,-103.0119394,"49.152566,-103.0119394",ROOFTOP,ChIJV5Ht7voiIFMRnvwHiGWkM3s,S4A 2S7,"110 – 1175 Nicholson Road Estevan, SK",1,OK,1896.164
Humboldt-Watrous,,,,constituency,"107D 3rd Avenue East Watrous, SK",11,"107-D 3rd Ave E, Watrous, SK S0K 4T0, Canada",51.6732195,-105.4661548,"51.67321949999999,-105.4661548",ROOFTOP,ChIJN-p5j06tHFMRbKXSOp0cGEw,S0K 4T0,"107D 3rd Avenue East Watrous, SK",1,OK,2127.72
Indian Head-Milestone,,,,constituency,"311 Grand Avenue Indian Head, SK",12,"311 Grand Ave, Indian Head, SK S0G 2K0, Canada",50.530969,-103.6666125,"50.530969,-103.6666125",ROOFTOP,ChIJ41-4UG91HlMRFCL9PeCfDTQ,S0G 2K0,"311 Grand Avenue Indian Head, SK",1,OK,2007.082
Kelvington-Wadena,,,,constituency,"432 Main Street Foam Lake, SK",13,"432 Main St, Foam Lake, SK S0A 1A0, Canada",51.6437156,-103.5339596,"51.6437156,-103.5339596",ROOFTOP,ChIJVU8hlJij4lIRQIRnbExp8Ko,S0A 1A0,"432 Main Street Foam Lake, SK",1,OK,2174.428
Kindersley,,,,constituency,"512 Grand Avenue Luseland, SK",14,"512 Grand Ave, Luseland, SK S0L 2A0, Canada",52.0809181,-109.3927821,"52.0809181,-109.3927821",RANGE_INTERPOLATED,Eis1MTIgR3JhbmQgQXZlLCBMdXNlbGFuZCwgU0sgUzBMIDJBMCwgQ2FuYWRhIhsSGQoUChIJFUvyY_boDlMRM9CYPKQfGuwQgAQ,S0L 2A0,"512 Grand Avenue Luseland, SK",1,OK,2307.236
Last Mountain-Touchwood,,,,constituency,"503 Main Street Ituna, SK",15,"503 Main St, Ituna, SK S0A 1N0, Canada",51.1658309,-103.4959398,"51.1658309,-103.4959398",ROOFTOP,ChIJm0z_hbeAHVMRmHMWn9u78eY,S0A 1N0,"503 Main Street Ituna, SK",1,OK,2112.379
Lloydminster,,,,constituency,"2095 50 Avenue Lloydminster, SK",16,"2095 50 Ave, Lloydminster, SK T9V 2W7, Canada",53.2565654,-110.0043273,"53.2565654,-110.0043273",RANGE_INTERPOLATED,Ei0yMDk1IDUwIEF2ZSwgTGxveWRtaW5zdGVyLCBTSyBUOVYgMlc3LCBDYW5hZGEiGxIZChQKEglLVhX4ea0JUxH1KWMCYeYB9xCvEA,T9V 2W7,"2095 50 Avenue Lloydminster, SK",1,OK,2527.391
Lumsden-Morse,,,,constituency,"401 Main Street North Moose Jaw, SK",17,"401 Main St N, Moose Jaw, SK S6H 0W5, Canada",50.394112,-105.534432,"50.394112,-105.534432",ROOFTOP,ChIJCbYDXi_cG1MR6gBo84htMvU,S6H 0W5,"401 Main Street North Moose Jaw, SK",1,OK,1972.422
Martensville-Warman,,,,constituency,"#3 721 Centennial Drive Martensville, SK",18,,,,,,,,"#3 721 Centennial Drive Martensville, SK",0,INVALID_REQUEST,1230.828
