District name,Name,Party name,Office type,Address
Abbotsford,Ed Fast,Conservative,constituency,"Abbotsford
2825 Clearbrook Road
Suite 205
Abbotsford BC  V2T 6S3"
Abitibi—Baie-James—Nunavik—Eeyou,Sylvie Bérubé,Bloc Québécois,constituency,"Val-d'Or
888 3rd Avenue
Suite 204
Val-d'Or QC  J9P 5E6"
Abitibi—Témiscamingue,Sébastien Lemire,Bloc Québécois,constituency,"Rouyn-Noranda
33-A Gamble Street West
RC 15
Rouyn-Noranda QC  J9X 2R3"
Acadie—Bathurst,Serge Cormier,Liberal,constituency,"Caraquet
220 St-Pierre Blvd West
Suite 314
Caraquet NB  E1W 1A5"
Ahuntsic-Cartierville,Mélanie Joly,Liberal,constituency,"Montréal
225 Chabanel West
Suite 1109
Montréal QC  H2N 2C9"
Ajax,Mark Holland,Liberal,constituency,"Ajax
100 Old Kingston Road
Suite 1
Ajax ON  L1T 2Z9"
Alfred-Pellan,Angelo Iacono,Liberal,constituency,"Laval
3131 de la Concorde East
Suite 300
Laval QC  H7E 4W4"
Algoma—Manitoulin—Kapuskasing,Carol Hughes,NDP,constituency,"Elliot Lake
289-A Hillside Drive South
Elliot Lake ON  P5A 1N7"
Argenteuil—La Petite-Nation,Stéphane Lauzon,Liberal,constituency,"Gatineau
104 Maclaren Street East
Gatineau QC  J8L 1K1"
Aurora—Oak Ridges—Richmond Hill,Leona Alleslev,Conservative,constituency,"Richmond Hill
12820 Yonge Street
Suite 202
Richmond Hill ON  L4E 4H1"
Avalon,Ken McDonald,Liberal,constituency,"Conception Bay South
120 Conception Bay Highway
Suite 105
Conception Bay South NL  A1W 3A6"
Avignon—La Mitis—Matane—Matapédia,Kristina Michaud,Bloc Québécois,constituency,"Amqui
35 Saint-Benoit Boulevard East
Amqui QC  G5J 2B8"
Banff—Airdrie,Blake Richards,Conservative,constituency,"Airdrie
620 - 1st Avenue NW
Suite 16
Airdrie AB  T4B 2R3"
Barrie—Innisfil,John Brassard,Conservative,constituency,"Barrie
480 Huronia Road
Suite 204-B
Barrie ON  L4N 6M2"
Barrie—Springwater—Oro-Medonte,Doug Shipley,Conservative,constituency,"Barrie
48 Alliance Blvd
Suite 104
Barrie ON  L4M 5K3"
Battle River—Crowfoot,Damien C. Kurek,Conservative,constituency,"Camrose
4945 - 50th Street
Camrose AB  T4V 1P9"
Battlefords—Lloydminster,Rosemarie Falk,Conservative,constituency,"Lloydminster
4304 - 40th Avenue
Suite 3
Lloydminster SK  S9V 2H1"
Bay of Quinte,Neil R. Ellis,Liberal,constituency,"Belleville
250 Sidney Street
Belleville ON  K8P 5L6"
Beaches—East York,Nathaniel Erskine-Smith,Liberal,constituency,"Toronto
1902 Danforth Avenue
Toronto ON  M4C 1J4"
Beauce,Richard Lehoux,Conservative,constituency,"Sainte-Marie de Beauce
250 Vachon North Boulevard
Suite 201
Sainte-Marie de Beauce QC  G6E 4G3"
Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Caroline Desbiens,Bloc Québécois,constituency,"Ste-Anne-de-Beaupré
9749 Sainte-Anne Blvd.
Suite 160
Ste-Anne-de-Beaupré QC  G0A 3C0"
Beauport—Limoilou,Julie Vignola,Bloc Québécois,constituency,"Québec
2000 Sanfaçon Avenue
Suite 101
Québec QC  G1E 3R7"
Beauséjour,Dominic LeBlanc,Liberal,constituency,"Shediac
328 Main Street
Suite I
Shediac NB  E4P 2E3"
Bellechasse—Les Etchemins—Lévis,Steven Blaney,Conservative,constituency,"Lévis
115 President Kennedy Road
Suite 101
Lévis QC  G6V 6C8"
Beloeil—Chambly,Yves-François Blanchet,Bloc Québécois,constituency,"Chambly
270 Fréchette Boulevard
Chambly QC  J3L 2Z5"
Berthier—Maskinongé,Yves Perron,Bloc Québécois,constituency,"Louiseville
343 St-Laurent Avenue
Louiseville QC  J5V 1K2"
Bonavista—Burin—Trinity,Churence Rogers,Liberal,constituency,"Grand Bank
3 Church Street
PO Box 370
Grand Bank NL  A0E 1W0"
