District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube
Agassiz,MLA,Eileen Clarke,Eileen,Clarke,,Progressive Conservative Party of Manitoba,minindnr@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/clarke.jpg,http://www.gov.mb.ca/legislature/members/info/clarke.html,,,,,,
Assiniboia,MLA,Scott Johnston,Scott,Johnston,,Progressive Conservative Party of Manitoba,Scott.Johnston@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/johnston.jpg,http://www.gov.mb.ca/legislature/members/info/johnston.html,,,,,,
Borderland,MLA,Josh Guenter,Josh,Guenter,,Progressive Conservative Party of Manitoba,Josh.Guenter@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/guenter.jpg,http://www.gov.mb.ca/legislature/members/info/guenter.html,,,,,,
Brandon East,MLA,Len Isleifson,Len,Isleifson,,Progressive Conservative Party of Manitoba,Len.Isleifson@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/isleifson.jpg,http://www.gov.mb.ca/legislature/members/info/isleifson.html,,,,,,
Brandon West,MLA,Reg Helwer,Reg,Helwer,,Progressive Conservative Party of Manitoba,mincentral@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/helwer.jpg,http://www.gov.mb.ca/legislature/members/info/helwer.html,,,,,,
Burrows,MLA,Diljeet Brar,Diljeet,Brar,,New Democratic Party of Manitoba,Diljeet.Brar@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/brar.jpg,http://www.gov.mb.ca/legislature/members/info/brar.html,,,,,,
Concordia,MLA,Matt Wiebe,Matt,Wiebe,,New Democratic Party of Manitoba,matt.wiebe@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/wiebe.jpg,http://www.gov.mb.ca/legislature/members/info/wiebe.html,,,,,,
Dauphin,MLA,Brad Michaleski,Brad,Michaleski,,Progressive Conservative Party of Manitoba,Brad.Michaleski@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/michaleski.jpg,http://www.gov.mb.ca/legislature/members/info/michaleski.html,,,,,,
Dawson Trail,MLA,Bob Lagassé,Bob,Lagassé,,Progressive Conservative Party of Manitoba,Bob.Lagasse@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/lagasse.jpg,http://www.gov.mb.ca/legislature/members/info/lagasse.html,,,,,,
Elmwood,MLA,Jim Maloway,Jim,Maloway,,New Democratic Party of Manitoba,Jim.Maloway@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/maloway.jpg,http://www.gov.mb.ca/legislature/members/info/maloway.html,,,,,,
Flin Flon,MLA,Tom Lindsey,Tom,Lindsey,,New Democratic Party of Manitoba,Tom.Lindsey@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/lindsey.jpg,http://www.gov.mb.ca/legislature/members/info/lindsey.html,,,,,,
Fort Garry,MLA,Mark Wasyliw,Mark,Wasyliw,,New Democratic Party of Manitoba,Mark.Wasyliw@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/wasyliw.jpg,http://www.gov.mb.ca/legislature/members/info/wasyliw.html,,,,,,
Fort Richmond,MLA,Sarah Guillemard,Sarah,Guillemard,,Progressive Conservative Party of Manitoba,mincc@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/guillemard.jpg,http://www.gov.mb.ca/legislature/members/info/guillemard.html,,,,,,
Fort Rouge,MLA,Wab Kinew,Wab,Kinew,,New Democratic Party of Manitoba,Wab.Kinew@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/kinew.jpg,http://www.gov.mb.ca/legislature/members/info/kinew.html,,,,,,
Fort Whyte,MLA,Brian Pallister,Brian,Pallister,,Progressive Conservative Party of Manitoba,Premier@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/pallister.jpg,http://www.gov.mb.ca/legislature/members/info/pallister.html,,,,,,
Interlake-Gimli,MLA,Derek Johnson,Derek,Johnson,,Progressive Conservative Party of Manitoba,Derek.Johnson@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/johnson.jpg,http://www.gov.mb.ca/legislature/members/info/johnson.html,,,,,,
Keewatinook,MLA,Ian Bushie,Ian,Bushie,,New Democratic Party of Manitoba,Ian.Bushie@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/bushie.jpg,http://www.gov.mb.ca/legislature/members/info/bushie.html,,,,,,
Kildonan-River East,MLA,Cathy Cox,Cathy,Cox,,Progressive Conservative Party of Manitoba,minsch@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/cox.jpg,http://www.gov.mb.ca/legislature/members/info/cox.html,,,,,,
Kirkfield Park,MLA,Scott Fielding,Scott,Fielding,,Progressive Conservative Party of Manitoba,minfin@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/fielding.jpg,http://www.gov.mb.ca/legislature/members/info/fielding.html,,,,,,
La Vérendrye,MLA,Dennis Smook,Dennis,Smook,,Progressive Conservative Party of Manitoba,Dennis.Smook@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/smook.jpg,http://www.gov.mb.ca/legislature/members/info/smook.html,,,,,,
Lac du Bonnet,MLA,Wayne Ewasko,Wayne,Ewasko,,Progressive Conservative Party of Manitoba,Wayne.Ewasko@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/ewasko.jpg,http://www.gov.mb.ca/legislature/members/info/ewasko.html,,,,,,
Lagimodière,MLA,Andrew Smith,Andrew,Smith,,Progressive Conservative Party of Manitoba,Andrew.Smith@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/smith2.jpg,http://www.gov.mb.ca/legislature/members/info/smith.html,,,,,,
Lakeside,MLA,Ralph Eichler,Ralph,Eichler,,Progressive Conservative Party of Manitoba,minedt@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/eichler.jpg,http://www.gov.mb.ca/legislature/members/info/eichler.html,,,,,,
McPhillips,MLA,Shannon Martin,Shannon,Martin,,Progressive Conservative Party of Manitoba,Shannon.Martin@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/martin.jpg,http://www.gov.mb.ca/legislature/members/info/martin.html,,,,,,
Midland,MLA,Blaine Pedersen,Blaine,Pedersen,,Progressive Conservative Party of Manitoba,minagr@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/pedersen.jpg,http://www.gov.mb.ca/legislature/members/info/pedersen.html,,,,,,
Morden-Winkler,MLA,Cameron Friesen,Cameron,Friesen,,Progressive Conservative Party of Manitoba,minhsal@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/friesen.jpg,http://www.gov.mb.ca/legislature/members/info/friesen.html,,,,,,
Notre Dame,MLA,Malaya Marcelino,Malaya,Marcelino,,New Democratic Party of Manitoba,Malaya.Marcelino@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/marcelino.jpg,http://www.gov.mb.ca/legislature/members/info/marcelino.html,,,,,,
Point Douglas,MLA,Bernadette Smith,Bernadette,Smith,,New Democratic Party of Manitoba,Bernadette.Smith@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/smith.jpg,http://www.gov.mb.ca/legislature/members/info/smith2.html,,,,,,
Portage la Prairie,MLA,Ian Wishart,Ian,Wishart,,Progressive Conservative Party of Manitoba,Ian.Wishart@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/wishart.jpg,http://www.gov.mb.ca/legislature/members/info/wishart.html,,,,,,
Radisson,MLA,James Teitsma,James,Teitsma,,Progressive Conservative Party of Manitoba,james.teitsma@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/teitsma.jpg,http://www.gov.mb.ca/legislature/members/info/teitsma.html,,,,,,
Red River North,MLA,Jeff Wharton,Jeff,Wharton,,Progressive Conservative Party of Manitoba,mincrown@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/wharton.jpg,http://www.gov.mb.ca/legislature/members/info/wharton.html,,,,,,
Riding Mountain,MLA,Greg Nesbitt,Greg,Nesbitt,,Progressive Conservative Party of Manitoba,Greg.Nesbitt@leg.gov.mb.ca,http://www.gov.mb.ca/legislature/img/mla/nesbitt.jpg,http://www.gov.mb.ca/legislature/members/info/nesbitt.html,,,,,,
