District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube
Albert,MLA,Mike Holland,Mike,Holland,,Progressive Conservative Party of New Brunswick,mike.holland@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Holland_MikeP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Bathurst East-Nepisiguit-Saint-Isidore,MLA,Denis Landry,Denis,Landry,,New Brunswick Liberal Association,denis.landry2@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Landry_DenisP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Bathurst West-Beresford,MLA,Brian Kenny,Brian,Kenny,,New Brunswick Liberal Association,brian.kenny@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Kenny_BrianP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Campbellton-Dalhousie,MLA,Guy Arseneault,Guy,Arseneault,,New Brunswick Liberal Association,guy.arseneault@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Arseneault_GuyP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Caraquet,MLA,Isabelle Thériault,Isabelle,Thériault,,New Brunswick Liberal Association,isabelle.theriault@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Theriault_IsabelleP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Carleton,MLA,Stewart Fairgrieve,Stewart,Fairgrieve,,Progressive Conservative Party of New Brunswick,stewart.fairgrieve@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Fairgrieve_StewartP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Carleton-Victoria,MLA,Andrew Harvey,Andrew,Harvey,,New Brunswick Liberal Association,andrew.harvey@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Harvey_AndrewP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Carleton-York,MLA,Carl Urquhart,Carl,Urquhart,,Progressive Conservative Party of New Brunswick,carl.urquhart@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Urquhart_CarlP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Dieppe,MLA,Roger Melanson,Roger,Melanson,,New Brunswick Liberal Association,roger.l.melanson@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/Melanson_RogerP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
Edmundston-Madawaska Centre,MLA,Jean-Claude (JC) D'Amours,Jean-Claude (JC),D'Amours,,New Brunswick Liberal Association,jean-claude.d'amours@gnb.ca,https://www1.gnb.ca/legis/bios/59/image/59/images/DAmours_JeanClaudeP.jpg,https://www1.gnb.ca/legis/bios/59/index-e.asp,,,,,,
