District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax
Baie Verte—Green Bay,MHA,Brian Warr,Brian,Warr,,Liberal Party of Newfoundland and Labrador,brianwarr@gov.nl.ca,http://www.assembly.nl.ca/images/coat_of_arms.png,http://www.assembly.nl.ca/Members/YourMember/WarrBrian.aspx,,,,,,,legislature,,1 709 729-0659,,constituency,,1 709 673-3654,
Bonavista,MHA,Craig Pardy,Craig,Pardy,,Progressive Conservative Party of Newfoundland and Labrador,CraigPardy@gov.nl.ca,http://www.assembly.nl.ca/images/coat_of_arms.png,http://www.assembly.nl.ca/Members/YourMember/PardyCraig.aspx,,,,,,,legislature,,1 709 729-0444,,constituency,,1 709 468-2132,
Burgeo—La Poile,MHA,Andrew Parsons,Andrew,Parsons,,Liberal Party of Newfoundland and Labrador,andrewparsons@gov.nl.ca,http://www.assembly.nl.ca/images/coat_of_arms.png,http://www.assembly.nl.ca/Members/YourMember/ParsonsAndrew.aspx,,,,,,,legislature,,1 709 729-2920,,constituency,,1 709 695-3585,
Burin—Grand Bank,MHA,Carol Anne Haley,Carol Anne,Haley,,Liberal Party of Newfoundland and Labrador,carolannehaley@gov.nl.ca,http://www.assembly.nl.ca/images/coat_of_arms.png,http://www.assembly.nl.ca/Members/YourMember/HaleyCarolAnne.aspx,,,,,,,legislature,,1 709 729-3400,,constituency,,1 709 832-2530,
Cape St. Francis,MHA,Kevin Parsons,Kevin,Parsons,,Progressive Conservative Party of Newfoundland and Labrador,kevinparsons@gov.nl.ca,http://www.assembly.nl.ca/images/coat_of_arms.png,http://www.assembly.nl.ca/Members/YourMember/ParsonsKevin.aspx,,,,,,,legislature,,1 709 729-6979,,constituency,,1 709 729-6979,
Carbonear—Trinity—Bay de Verde,MHA,Steve Crocker,Steve,Crocker,,Liberal Party of Newfoundland and Labrador,SteveCrocker@gov.nl.ca,http://www.assembly.nl.ca/images/coat_of_arms.png,http://www.assembly.nl.ca/Members/YourMember/CrockerSteve.aspx,,,,,,,legislature,,1 709 729-2869,,constituency,,1 709 596-8194,
Cartwright—L'Anse au Clair,MHA,Lisa Dempster,Lisa,Dempster,,Liberal Party of Newfoundland and Labrador,lisadempster@gov.nl.ca,http://www.assembly.nl.ca/images/coat_of_arms.png,http://www.assembly.nl.ca/Members/YourMember/DempsterLisa.aspx,,,,,,,legislature,,1 709 729-2073,,constituency,,1 709 931-2118,
Conception Bay East—Bell Island,MHA,David Brazil,David,Brazil,,Progressive Conservative Party of Newfoundland and Labrador,davidbrazil@gov.nl.ca,http://www.assembly.nl.ca/images/coat_of_arms.png,http://www.assembly.nl.ca/Members/YourMember/BrazilDavid.aspx,,,,,,,constituency,,1 709 729-0334,
Conception Bay South,MHA,Barry Petten,Barry,Petten,,Progressive Conservative Party of Newfoundland and Labrador,barrypetten@gov.nl.ca,http://www.assembly.nl.ca/images/coat_of_arms.png,http://www.assembly.nl.ca/Members/YourMember/PettenBarry.aspx,,,,,,,legislature,,1 709 729-3391,,constituency,,1 709 834-6180,
Corner Brook,MHA,Gerry Byrne,Gerry,Byrne,,Liberal Party of Newfoundland and Labrador,gerrybyrne@gov.nl.ca,http://www.assembly.nl.ca/images/coat_of_arms.png,http://www.assembly.nl.ca/Members/YourMember/ByrneGerry.aspx,,,,,,,legislature,,1 709 729-3580,,constituency,,1 709 637-4056,
Exploits,MHA,Pleaman Forsey,Pleaman,Forsey,,Progressive Conservative Party of Newfoundland and Labrador,pleamanforsey@gov.nl.ca,http://www.assembly.nl.ca/images/coat_of_arms.png,http://www.assembly.nl.ca/Members/YourMember/ForseyPleaman.aspx,,,,,,,legislature,,1 709 729-3391,,constituency,,1 709 258-2519,
Ferryland,MHA,Loyola O'Driscoll,Loyola,O'Driscoll,,Progressive Conservative Party of Newfoundland and Labrador,loyolaodriscoll@gov.nl.ca,http://www.assembly.nl.ca/images/coat_of_arms.png,http://www.assembly.nl.ca/Members/YourMember/ODriscollLoyola.aspx,,,,,,,legislature,,1 709 729-1390,,constituency,,1 709 729-1390,
