District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax
Ajax,MPP,Rod Phillips,Rod,Phillips,,Progressive Conservative Party of Ontario,rod.phillips@pc.ola.org,https://www.ola.org/sites/default/files/member/profile-photo/rod_phillips.jpg,https://www.ola.org/en/members/all/rod-phillips,,,,,,,legislature,,,1 905 427-6976,constituency,,1 905 427-2060,
Algoma—Manitoulin,MPP,Michael Mantha,Michael,Mantha,,New Democratic Party of Ontario,mmantha-qp@ndp.on.ca,https://www.ola.org/sites/default/files/member/profile-photo/michael_mantha_0.jpg,https://www.ola.org/en/members/all/michael-mantha,,,,,,,legislature,,,1 705 461-9720,constituency,,1 705 461-9710,
Aurora—Oak Ridges—Richmond Hill,MPP,Michael Parsa,Michael,Parsa,,Progressive Conservative Party of Ontario,michael.parsaco@pc.ola.org,https://www.ola.org/sites/default/files/member/profile-photo/michael_parsa.jpg,https://www.ola.org/en/members/all/michael-parsa,,,,,,,legislature,,,1 905 773-8158,constituency,,1 905 773-6250,
Barrie—Innisfil,MPP,Andrea Khanjin,Andrea,Khanjin,,Progressive Conservative Party of Ontario,andrea.khanjin@pc.ola.org,https://www.ola.org/sites/default/files/member/profile-photo/andrea_khanjin.jpg,https://www.ola.org/en/members/all/andrea-khanjin,,,,,,,legislature,,,1 705 722-8835,office,,1 416 314-6790,,constituency,,1 705 722-0575,
Barrie—Springwater—Oro-Medonte,MPP,Doug Downey,Doug,Downey,,Progressive Conservative Party of Ontario,doug.downey@pc.ola.org,https://www.ola.org/sites/default/files/member/profile-photo/doug_downey.jpg,https://www.ola.org/en/members/all/doug-downey,,,,,,,legislature,,,1 705 726-2880,office,,1 416 326-2220,,constituency,,1 705 726-5538,
Bay of Quinte,MPP,Todd Smith,Todd,Smith,,Progressive Conservative Party of Ontario,todd.smithco@pc.ola.org,https://www.ola.org/sites/default/files/member/profile-photo/todd_smith_1.jpg,https://www.ola.org/en/members/all/todd-smith,,,,,,,legislature,,,1 613 969-6381,office,,1 416 212-7432,,constituency,,1 613 962-1144,
Beaches—East York,MPP,Rima Berns-McGown,Rima,Berns-McGown,,New Democratic Party of Ontario,RBerns-McGown-QP@ndp.on.ca,https://www.ola.org/sites/default/files/member/profile-photo/rima_bernsmcgown.jpg,https://www.ola.org/en/members/all/rima-berns-mcgown,,,,,,,legislature,,,1 416 690-8420,constituency,,1 416 690-1032,
Brampton Centre,MPP,Sara Singh,Sara,Singh,,New Democratic Party of Ontario,SSingh-QP@ndp.on.ca,https://www.ola.org/sites/default/files/member/profile-photo/sara_singh.jpg,https://www.ola.org/en/members/all/sara-singh,,,,,,,legislature,,,1 905 454-8292,constituency,,1 905 454-1233,
Brampton East,MPP,Gurratan Singh,Gurratan,Singh,,New Democratic Party of Ontario,GSingh-QP@ndp.on.ca,https://www.ola.org/sites/default/files/member/profile-photo/gurratan_singh.jpg,https://www.ola.org/en/members/all/gurratan-singh,,,,,,,legislature,,,1 905 799-9505,constituency,,1 905 799-3939,
Brampton North,MPP,Kevin Yarde,Kevin,Yarde,,New Democratic Party of Ontario,KYarde-QP@ndp.on.ca,https://www.ola.org/sites/default/files/member/profile-photo/kevin_yarde.jpg,https://www.ola.org/en/members/all/kevin-yarde,,,,,,,legislature,,,1 905 495-1041,constituency,,1 905 495-8030,
Brampton South,MPP,Prabmeet Singh Sarkaria,Prabmeet Singh,Sarkaria,,Progressive Conservative Party of Ontario,prabmeet.sarkaria@pc.ola.org,https://www.ola.org/sites/default/files/member/profile-photo/prabmeet_sarkaria.jpg,https://www.ola.org/en/members/all/prabmeet-singh-sarkaria,,,,,,,legislature,,,1 905 796-8069,constituency,,1 905 796-8669,
Brampton West,MPP,Amarjot Sandhu,Amarjot,Sandhu,,Progressive Conservative Party of Ontario,amarjot.sandhu@pc.ola.org,https://www.ola.org/sites/default/files/member/profile-photo/amarjot_sandhu_0.jpg,https://www.ola.org/en/members/all/amarjot-sandhu,,,,,,,legislature,,,1 905 457-8496,constituency,,1 905 595-1532,
Brantford—Brant,MPP,Will Bouma,Will,Bouma,,Progressive Conservative Party of Ontario,will.bouma@pc.ola.org,https://www.ola.org/sites/default/files/member/profile-photo/will_bouma.jpg,https://www.ola.org/en/members/all/will-bouma,,,,,,,legislature,,,1 519 759-6439,office,,1 416 326-7092,,constituency,,1 519 759-0361,
Bruce—Grey—Owen Sound,MPP,Bill Walker,Bill,Walker,,Progressive Conservative Party of Ontario,bill.walker@pc.ola.org,https://www.ola.org/sites/default/files/member/profile-photo/bill_walker_2.jpg,https://www.ola.org/en/members/all/bill-walker,,,,,,,legislature,,,1 519 371-0953,office,,1 416 325-6242,,constituency,,1 519 371-2421,
Burlington,MPP,Jane McKenna,Jane,McKenna,,Progressive Conservative Party of Ontario,jane.mckenna@pc.ola.org,https://www.ola.org/sites/default/files/member/profile-photo/jane_mckenna_0.jpg,https://www.ola.org/en/members/all/jane-mckenna,,,,,,,legislature,,,1 905 639-3284,office,,1 416 325-4910,,constituency,,1 905 639-7924,
