District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax,Office type,Address,Phone,Fax
Abitibi-Est,MNA,Pierre Dufour,Pierre,Dufour,,Coalition avenir Québec,Pierre.Dufour.ABES@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31055&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/dufour-pierre-17823/index.html,,https://www.facebook.com/PierreDufourCAQ/,,https://twitter.com/coalitionavenir,,,legislature,,1 418 643-7295,,constituency,,1 819 824-3333,
Abitibi-Ouest,MNA,Suzanne Blais,Suzanne,Blais,,Coalition avenir Québec,Suzanne.Blais.ABOU@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31075&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/blais-suzanne-17825/index.html,,https://www.facebook.com/SuzanneBlaisCAQ/,,https://twitter.com/SBlaisCAQ,,,legislature,,1 581 628-1857,,constituency,,1 819 444-5007,
Acadie,MNA,Christine St-Pierre,Christine,St-Pierre,,Parti libéral du Québec,Christine.St-Pierre.ACAD@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_943&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/st-pierre-christine-1235/index.html,,https://www.facebook.com/csp.csp.5,,https://twitter.com/stpierre_ch,,,legislature,,1 581 628-1773,,constituency,,1 514 337-4278,
Anjou-Louis-Riel,MNA,Lise Thériault,Lise,Thériault,,Parti libéral du Québec,ltheriault-anjo@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_1035&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/theriault-lise-1355/index.html,,https://www.facebook.com/LiseTheriaultplq/,,https://twitter.com/LiseT_ALR,,,legislature,,1 581 628-1775,,constituency,,1 514 493-9630,
Argenteuil,MNA,Agnès Grondin,Agnès,Grondin,,Coalition avenir Québec,Agnes.Grondin.ARGE@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31039&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/grondin-agnes-17827/index.html,,https://www.facebook.com/AgnesGrondinCAQ/,,https://twitter.com/coalitionavenir,,,legislature,,1 418 528-6379,,constituency,,1 450 562-0785,
Arthabaska,MNA,Éric Lefebvre,Éric,Lefebvre,,Coalition avenir Québec,Eric.Lefebvre.ARTH@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_23687&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/lefebvre-eric-16777/index.html,,https://www.facebook.com/EricLefebvreArth/,,https://twitter.com/EricLefebvreCAQ,,,legislature,,1 418 643-6018,,constituency,,1 819 758-7440,
Beauce-Nord,MNA,Luc Provençal,Luc,Provençal,,Coalition avenir Québec,Luc.Provencal.BENO@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_30997&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/provencal-luc-17829/index.html,,https://www.facebook.com/LucProvencalCAQ/,,https://twitter.com/coalitionavenir,,,legislature,,1 418 643-5016,,constituency,,1 418 387-2044,
Beauce-Sud,MNA,Samuel Poulin,Samuel,Poulin,,Coalition avenir Québec,Samuel.Poulin.BESU@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31003&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/poulin-samuel-17831/index.html,,https://www.facebook.com/SamuelPoulinBeauce/,,https://twitter.com/poulin_samuel,,,legislature,,1 418 263-0645,,constituency,,1 418 226-4570,
Beauharnois,MNA,Claude Reid,Claude,Reid,,Coalition avenir Québec,Claude.Reid.BEAU@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_30995&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/reid-claude-17833/index.html,,https://www.facebook.com/ClaudeReidCAQ/,,https://twitter.com/coalitionavenir,,,legislature,,1 418 644-7844,,constituency,,1 450 377-3131,
Bellechasse,MNA,Stéphanie Lachance,Stéphanie,Lachance,,Coalition avenir Québec,Stephanie.Lachance.BELL@assnat.qc.ca,http://www.assnat.qc.ca/Media/Process.aspx?asset=ANQ.Vigie.Bll.Image_31027&process=Original&token=ZyMoxNwUn8ikQ+TRKYwPCjWrKwg+vIv9rjij7p3xLGTZDmLVSmJLoqe/vG7/YWzz,http://www.assnat.qc.ca/fr/deputes/lachance-stephanie-17835/index.html,,https://www.facebook.com/Stephanie-Lachance-Coalition-Avenir-Quebec-627820033939204/,,https://twitter.com/slachancecaq,,,legislature,,1 581 628-1781,,constituency,,1 418 883-1343,
