District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax
Airdrie-Cochrane,MLA,Pete Guthrie,Pete,Guthrie,,United Conservative Party,Airdrie.Cochrane@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0920.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=47&leg=30,,,,,,,legislature,,1 587 493-2050,1 587 493-9562
Airdrie-East,MLA,Angela Pitt,Angela,Pitt,,United Conservative Party,Airdrie.East@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0894.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=48&leg=30,,,,,,,legislature,,1 403 948-8741,1 403 948-8744
Athabasca-Barrhead-Westlock,MLA,Glenn van Dijken,Glenn van,Dijken,,United Conservative Party,Athabasca.Barrhead.Westlock@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0898.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=49&leg=30,,,,,,,legislature,,1 780 674-3225,1 780 674-6183
Banff-Kananaskis,MLA,Miranda Rosin,Miranda,Rosin,,United Conservative Party,Banff.Kananaskis@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0936.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=50&leg=30,,,,,,,legislature,,1 403 609-4509,1 403 609-4513
Bonnyville-Cold Lake-St. Paul,MLA,David B. Hanson,David B.,Hanson,,United Conservative Party,Bonnyville.ColdLake.StPaul@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0888.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=51&leg=30,,,,,,,legislature,,1 780 826-5658,1 780 826-2165
Brooks-Medicine Hat,MLA,Michaela Glasgo,Michaela,Glasgo,,United Conservative Party,Brooks.MedicineHat@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0918.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=52&leg=30,,,,,,,legislature,,1 587 270-5110,1 587 270-5113
Calgary-Acadia,MLA,Tyler Shandro,Tyler,Shandro,,United Conservative Party,Calgary.Acadia@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0944.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=01&leg=30,,,,,,,legislature,,1 403 640-1363,1 403 592-8171
Calgary-Beddington,MLA,Josephine Pon,Josephine,Pon,,United Conservative Party,Calgary.Beddington@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0933.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=02&leg=30,,,,,,,legislature,,1 403 215-7710,1 403 216-5410
Calgary-Bow,MLA,Demetrios Nicolaides,Demetrios,Nicolaides,,United Conservative Party,Calgary.Bow@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0931.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=03&leg=30,,,,,,,legislature,,1 403 216-5400,1 403 216-5402
Calgary-Buffalo,MLA,Joe Ceci,Joe,Ceci,,Alberta New Democratic Party,Calgary.Buffalo@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0838.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=04&leg=30,,,,,,,legislature,,1 403 244-7737,1 403 541-9106
Calgary-Cross,MLA,Mickey Amery,Mickey,Amery,,United Conservative Party,Calgary.Cross@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0913.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=05&leg=30,,,,,,,legislature,,1 403 248-4487,1 403 273-2898
Calgary-Currie,MLA,Nicholas Milliken,Nicholas,Milliken,,United Conservative Party,Calgary.Currie@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0928.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=06&leg=30,,,,,,,legislature,,1 403 246-4794,1 403 686-1543
Calgary-East,MLA,Peter Singh,Peter,Singh,,United Conservative Party,Calgary.East@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0946.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=07&leg=30,,,,,,,legislature,,1 587 496-2052,1 403 235-4772
Calgary-Edgemont,MLA,Prasad Panda,Prasad,Panda,,United Conservative Party,Calgary.Edgemont@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0904.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=08&leg=30,,,,,,,legislature,,1 403 288-4453,1 587 393-8055
Calgary-Elbow,MLA,Doug Schweitzer,Doug,Schweitzer,,United Conservative Party,Calgary.Elbow@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0943.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=09&leg=30,,,,,,,legislature,,1 403 252-0346,1 403 252-0520
Calgary-Falconridge,MLA,Devinder Toor,Devinder,Toor,,United Conservative Party,Calgary.Falconridge@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0949.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=10&leg=30,,,,,,,legislature,,1 403 280-4022,1 403 280-3877
Calgary-Fish Creek,MLA,Richard Gotfried,Richard,Gotfried,,United Conservative Party,Calgary.FishCreek@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0900.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=11&leg=30,,,,,,,legislature,,1 403 278-4444,1 403 278-7875
Calgary-Foothills,MLA,Jason Luan,Jason,Luan,,United Conservative Party,Calgary.Foothills@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0806.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=12&leg=30,,,,,,,legislature,,1 403 216-5444,1 403 216-5442
Calgary-Glenmore,MLA,Whitney Issik,Whitney,Issik,,United Conservative Party,Calgary.Glenmore@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0922.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=13&leg=30,,,,,,,legislature,,1 403 216-5421,1 403 216-5423
Calgary-Hays,MLA,Ric McIver,Ric,McIver,,United Conservative Party,Calgary.Hays@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0808.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=14&leg=30,,,,,,,legislature,,1 403 215-4380,1 403 215-4383
Calgary-Klein,MLA,Jeremy Nixon,Jeremy,Nixon,,United Conservative Party,Calgary.Klein@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0932.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=15&leg=30,,,,,,,legislature,,1 403 216-5430,1 403 216-5432
Calgary-Lougheed,MLA,Jason Kenney,Jason,Kenney,,United Conservative Party,Calgary.Lougheed@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0906.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=16&leg=30,,,,,,,legislature,,1 403 238-1212,1 403 251-5453
Calgary-McCall,MLA,Irfan Sabir,Irfan,Sabir,,Alberta New Democratic Party,Calgary.McCall@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0871.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=17&leg=30,,,,,,,legislature,,1 403 216-5424,1 403 216-5426
Calgary-Mountain View,MLA,Kathleen Ganley,Kathleen,Ganley,,Alberta New Democratic Party,Calgary.MountainView@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0846.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=18&leg=30,,,,,,,legislature,,1 403 216-5445,1 403 216-5447
Calgary-North,MLA,Muhammad Yaseen,Muhammad,Yaseen,,United Conservative Party,Calgary.North@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0954.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=19&leg=30,,,,,,,legislature,,1 403 274-1931,1 403 275-8421
Calgary-North East,MLA,Rajan Sawhney,Rajan,Sawhney,,United Conservative Party,Calgary.NorthEast@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0940.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=20&leg=30,,,,,,,legislature,,1 587 318-2946,1 587 620-3998
Calgary-North West,MLA,Sonya Savage,Sonya,Savage,,United Conservative Party,Calgary.Northwest@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0939.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=21&leg=30,,,,,,,legislature,,1 403 297-7104,1 403 297-7121
Calgary-Peigan,MLA,Tanya Fir,Tanya,Fir,,United Conservative Party,Calgary.Peigan@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0916.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=22&leg=30,,,,,,,legislature,,1 587 392-8850,1 587 392-8848
Calgary-Shaw,MLA,Rebecca Schulz,Rebecca,Schulz,,United Conservative Party,Calgary.Shaw@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0942.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=23&leg=30,,,,,,,legislature,,1 403 256-8969,1 403 256-8970
Calgary-South East,MLA,Matt Jones,Matt,Jones,,United Conservative Party,Calgary.SouthEast@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0923.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=24&leg=30,,,,,,,legislature,,1 403 215-8930,1 403 215-8932
Calgary-Varsity,MLA,Jason Copping,Jason,Copping,,United Conservative Party,Calgary.Varsity@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0915.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=25&leg=30,,,,,,,legislature,,1 403 216-5436,1 403 216-5432
Calgary-West,MLA,Mike Ellis,Mike,Ellis,,United Conservative Party,Calgary.West@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0832.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=26&leg=30,,,,,,,legislature,,1 403 216-5439,1 403 216-5441
Camrose,MLA,Jackie Lovely,Jackie,Lovely,,United Conservative Party,Camrose@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0926.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=53&leg=30,,,,,,,legislature,,1 780 672-0000,1 780 672-6945
Cardston-Siksika,MLA,Joseph Schow,Joseph,Schow,,United Conservative Party,,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0941.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=54&leg=30,,,,,,
Central Peace-Notley,MLA,Todd Loewen,Todd,Loewen,,United Conservative Party,CentralPeace.Notley@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0890.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=55&leg=30,,,,,,,legislature,,1 780 835-7211,1 780 835-7212
Chestermere-Strathmore,MLA,Leela Sharon Aheer,Leela Sharon,Aheer,,United Conservative Party,Chestermere.Strathmore@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0883.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=56&leg=30,,,,,,,legislature,,1 403 962-0126,
Cypress-Medicine Hat,MLA,Drew Barnes,Drew,Barnes,,United Conservative Party,Cypress.MedicineHat@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0816.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=57&leg=30,,,,,,,legislature,,1 403 528-2191,1 403 528-2278
Drayton Valley-Devon,MLA,Mark Smith,Mark,Smith,,United Conservative Party,DraytonValley.Devon@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0896.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=58&leg=30,,,,,,,legislature,,1 780 542-3355,1 780 542-3331
Drumheller-Stettler,MLA,Nate Horner,Nate,Horner,,United Conservative Party,Drumheller.Stettler@assembly.ab.ca,http://www.assembly.ab.ca/lao/mla/photos/m/ph-mla0921.jpg,http://www.assembly.ab.ca/net/index.aspx?p=mla_contact&rnumber=59&leg=30,,,,,,,legislature,,1 403 321-7720,
