District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Facebook,Instagram,Twitter,LinkedIn,YouTube,Office type,Address,Phone,Fax
Arm River,MLA,Greg Brkich,Greg,Brkich,,Saskatchewan Party,gregpbrkich@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/342fdfe3-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Greg-Brkich/,,,,,,,constituency,"PO Box 1077 - 102 Washington St.
Davidson SK  S0G 1A0",1 306 787-3174,
Athabasca,MLA,Buckley Belanger,Buckley,Belanger,,New Democratic Party,athabasca@ndpcaucus.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/ad13dafe-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Buckley-Belanger/,,,,,,,constituency,"PO Box 310
Ile-a-la-Crosse SK  S0M 1C0",1 306 787-6247,
Batoche,MLA,Delbert Kirsch,Delbert,Kirsch,,Saskatchewan Party,batochemla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/38c2f004-60d0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Delbert-Kirsch/,,,,,,,constituency,"PO Box 308 - 115 Main St.
Cudworth SK  S0K 1B0",1 306 787-3174,
Biggar-Sask Valley,MLA,Randy Weekes,Randy,Weekes,,Saskatchewan Party,randyweekes.mla@accesscomm.ca,http://www.legassembly.sk.ca/_entity/annotation/332fdfe3-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Randy-Weekes/,,,,,,,constituency,"PO Box 1413 - 106 3rd Ave. W.
Biggar SK  S0K 0M0",1 306 798-9013,
Cannington,MLA,Dan D'Autremont,Dan,D'Autremont,,Saskatchewan Party,cannington.mla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/35c2f004-60d0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Dan-DAutremont/,,,,,,,constituency,"PO Box 130 - 303 Hwy 361
Alida SK  S0C 0B0",1 306 787-3174,
Canora-Pelly,MLA,Terry Dennis,Terry,Dennis,,Saskatchewan Party,Canora.PellyMLA@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/fe02730b-60d0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Terry-Dennis/,,,,,,,constituency,"106 - 1st Avenue East - Box 838
Canora SK  S0A 0L0",1 306 787-3174,
Carrot River Valley,MLA,Fred Bradshaw,Fred,Bradshaw,,Saskatchewan Party,fbradshaw.mla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/2ec2f004-60d0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Fred-Bradshaw/,,,,,,,constituency,"PO Box 969 - 29 Main St.
Carrot River SK  S0E 0L0",1 306 787-3174,
Cumberland,MLA,Doyle Vermette,Doyle,Vermette,,New Democratic Party,cumberland@ndpcaucus.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/171efcf0-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Doyle-Vermette/,,,,,,,constituency,"PO Box 192 - 215 La Ronge Ave.
La Ronge SK  S0J 1L0",1 306 787-6247,
Cut Knife-Turtleford,MLA,Larry Doke,Larry,Doke,,Saskatchewan Party,larrydoke@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/ec76d6f8-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Larry-Doke/,,,,,,,constituency,"PO Box 850 - #6 - 116 1st Ave. W.
Maidstone SK  S0M 1M0",1 306 787-0399,
Cypress Hills,MLA,Doug Steele,Doug,Steele,,Saskatchewan Party,steelemla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/eb76d6f8-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Douglas-Steele/,,,,,,,constituency,"Box 238
Gull Lake SK  S0N 1A0",1 306 787-3174,
Estevan,MLA,Lori Carr,Lori,Carr,,Saskatchewan Party,loricarrmla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/f176d6f8-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Lori-Carr/,,,,,,,constituency,"1108 4th Street
Estevan SK  S4A 0W7",1 306 787-3174,
Humboldt-Watrous,MLA,Donna Harpauer,Donna,Harpauer,,Saskatchewan Party,humboldtwatrousmla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/30c2f004-60d0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Donna-Harpauer/,,,,,,,constituency,"PO Box 2950 - 632 9th St.
Humboldt SK  S0K 2A0",1 306 787-6055,
Indian Head-Milestone,MLA,Don McMorris,Don,McMorris,,Saskatchewan Party,mcmorris.mla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/ecf435ea-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Don-McMorris/,,,,,,,constituency,"PO Box 720 - 125 Railway St.
Balgonie SK  S0G 0E0",1 306 787-6247,
Kelvington-Wadena,MLA,Hugh Nerlien,Hugh,Nerlien,,Saskatchewan Party,nerlien.mla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/31c2f004-60d0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Hugh-Nerlien/,,,,,,,constituency,"Box 547
Porcupine Plain SK  S0E 1H0",1 306 787-3174,
Kindersley,MLA,Ken Francis,Ken,Francis,,Saskatchewan Party,kfrancismla@gmail.com,http://www.legassembly.sk.ca/_entity/annotation/33c2f004-60d0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Ken-Francis/,,,,,,,constituency,"Box 2620
Kindersley SK  S0L 1S0",1 306 787-3174,
Last Mountain-Touchwood,MLA,Glen Hart,Glen,Hart,,Saskatchewan Party,ghart.mla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/f276d6f8-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Glen-Hart/,,,,,,,constituency,"PO Box 309 - 402 Stanley St.
Cupar SK  S0G 0Y0",1 306 787-3174,
Lloydminster,MLA,Colleen Young,Colleen,Young,,Saskatchewan Party,colleen.young@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/312fdfe3-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Colleen-Young/,,,,,,,constituency,"Unit 2 - 4304 40th Avenue
Lloydminster SK  S9V 2H1",1 306 787-3174,
Lumsden-Morse,MLA,Lyle Stewart,Lyle,Stewart,,Saskatchewan Party,lumsdenmorse.mla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/181efcf0-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Lyle-Stewart/,,,,,,,constituency,"#207 - 310 Main St. N.
Moose Jaw SK  S6H 3K1",1 306 787-3174,
Martensville-Warman,MLA,Nancy Heppner,Nancy,Heppner,,Saskatchewan Party,mail@nancyheppner.com,http://www.legassembly.sk.ca/_entity/annotation/161efcf0-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Nancy-Heppner/,,,,,,,constituency,"PO Box 2270, #3G - 520 Central St. W
Warman SK  S0K 4S0",1 306 798-2009,
Meadow Lake,MLA,Jeremy Harrison,Jeremy,Harrison,,Saskatchewan Party,jharrisonmla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/a913dafe-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Jeremy-Harrison/,,,,,,,constituency,"PO Box 848 - 201 2nd St. W. North Entrance
Meadow Lake SK  S9X 1Y6",1 306 787-7977,
Melfort,MLA,Todd Goudy,Todd,Goudy,,Saskatchewan Party,goudymla@gmail.com,http://www.legassembly.sk.ca/_entity/annotation/2d2fdfe3-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Todd-Goudy/,,,,,,,constituency,"1121 Main Street North Bay 14, PO Box 2800
Melfort SK  S0E 1A0",1 306 787-3174,
Melville-Saltcoats,MLA,Warren Kaeding,Warren,Kaeding,,Saskatchewan Party,warrenkaedingmla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/f1f435ea-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Warren-Kaeding/,,,,,,,constituency,"113 3rd Avenue West - Box 3215
Melville SK  S0A 2P0",1 306 787-3174,
Moose Jaw North,MLA,Warren Michelson,Warren,Michelson,,Saskatchewan Party,moosejawnorthmla@shaw.ca,http://www.legassembly.sk.ca/_entity/annotation/ac13dafe-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Warren-Michelson/,,,,,,,constituency,"326B High St. W.
Moose Jaw SK  S6H 1S9",1 306 798-3174,
Moose Jaw Wakamow,MLA,Greg Lawrence,Greg,Lawrence,,Saskatchewan Party,greglawrencemla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/fb02730b-60d0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Greg-Lawrence/,,,,,,,constituency,"412 Lillooet St. West
Moose Jaw SK  S6H 7T1",1 306 787-3174,
Moosomin,MLA,Steven Bonk,Steven,Bonk,,Saskatchewan Party,stevenbonkmla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/eaf435ea-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Steven-Bonk/,,,,,,,constituency,"622 Main Street - PO Box 1038
Moosomin SK  S0G 3N0",1 306 787-7977,
Prince Albert Carlton,MLA,Joe Hargrave,Joe,Hargrave,,Saskatchewan Party,pacarltonmla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/ed76d6f8-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Joe-Hargrave/,,,,,,,constituency,"Bay 4 - 406 South Industrial Drive
Prince Albert SK  S6V 7L8",1 306 798-3140,
Prince Albert Northcote,MLA,Nicole Rancourt,Nicole,Rancourt,,New Democratic Party,princealbertnorthcote@ndpcaucus.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/32c2f004-60d0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Nicole-Rancourt/,,,,,,,constituency,"203 - 1100 1st Avenue East
Prince Albert SK  S6V 2A7",1 306 787-6247,
Regina Coronation Park,MLA,Mark Docherty,Mark,Docherty,,Saskatchewan Party,speaker@legassembly.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/2c2fdfe3-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Mark-Docherty/,,,,,,,constituency,"1010 Winnipeg St.
Regina SK  S4R 8P8",1 306 787-2283,
Regina Douglas Park,MLA,Nicole Sarauer,Nicole,Sarauer,,New Democratic Party,reginadouglaspark@ndpcaucus.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/37c2f004-60d0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Nicole-Sarauer/,,,,,,,constituency,"1213 15th Avenue
Regina SK  S4P 0Y8",1 306 787-6247,
Regina Elphinstone-Centre,MLA,Warren McCall,Warren,McCall,,New Democratic Party,reginaelphinstonecentre@ndpcaucus.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/b013dafe-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Warren-McCall/,,,,,,,constituency,"2900 5th Ave.
Regina SK  S4T 0L6",1 306 787-6247,
Regina Gardiner Park,MLA,Gene Makowsky,Gene,Makowsky,,Saskatchewan Party,gmakowsky.mla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/fa02730b-60d0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Gene-Makowsky/,,,,,,,constituency,"1010 Winnipeg Street
Regina SK  S4R 8P8",1 306 798-0264,
Regina Lakeview,MLA,Carla Beck,Carla,Beck,,New Democratic Party,reginalakeview@ndpcaucus.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/ae13dafe-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Carla-Beck/,,,,,,,constituency,"2824 13th Avenue
Regina SK  S4T 1N5",1 306 787-6247,
Regina Northeast,MLA,Yens Pedersen,Yens,Pedersen,,New Democratic Party,ypedersen@ndpcaucus.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/ef76d6f8-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Yens-Pedersen/,,,,,,,constituency,"236-408 Broad Street
Regina SK  S4R 1X3",1 306 787-6247,
Regina Pasqua,MLA,Muhammad Fiaz,Muhammad,Fiaz,,Saskatchewan Party,mfiaz.mla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/f2f435ea-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Muhammad-Fiaz/,,,,,,,constituency,"4137 Albert Street
Regina SK  S4S 3R6",1 306 787-3174,
Regina Rochdale,MLA,Laura Ross,Laura,Ross,,Saskatchewan Party,laurarossmla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/f076d6f8-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Laura-Ross/,,,,,,,constituency,"1150 Dorothy Street
Regina SK  S4X 4L1",1 306 787-3174,
Regina Rosemont,MLA,Trent Wotherspoon,Trent,Wotherspoon,,New Democratic Party,reginarosemont@ndpcaucus.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/2fc2f004-60d0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Trent-Wotherspoon/,,,,,,,constituency,"6300 Dewdney Ave.
Regina SK  S4T 1E3",1 306 787-6247,
Regina University,MLA,Tina Beaudry-Mellor,Tina,Beaudry-Mellor,,Saskatchewan Party,admin@ReginaUniversityMLA.ca,http://www.legassembly.sk.ca/_entity/annotation/fc02730b-60d0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Tina-Beaudry-Mellor/,,,,,,,constituency,"196 Massey Road
Regina SK  S4S 4N5",1 306 798-0263,
Regina Walsh Acres,MLA,Warren Steinley,Warren,Steinley,,Saskatchewan Party,walshacresmla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/eef435ea-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Warren-Steinley/,,,,,,,constituency,"6845 Rochdale Boulevard
Regina SK  S4X 2Z2",1 306 787-3174,
Regina Wascana Plains,MLA,Christine Tell,Christine,Tell,,Saskatchewan Party,christinetellmla@accesscomm.ca,http://www.legassembly.sk.ca/_entity/annotation/34c2f004-60d0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Christine-Tell/,,,,,,,constituency,"2318B Assiniboine Ave. E.
Regina SK  S4V 2P5",1 306 787-8677,
Rosetown-Elrose,MLA,Jim Reiter,Jim,Reiter,,Saskatchewan Party,jimreitermla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/eff435ea-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Jim-Reiter/,,,,,,,constituency,"PO Box 278 - 215 Main St.
Rosetown SK  S0L 2V0",1 306 787-0237,
Rosthern-Shellbrook,MLA,Scott Moe,Scott,Moe,,Saskatchewan Party,Premier@gov.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/edf435ea-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Scott-Moe/,,,,,,,constituency,"Box 115 - 34 Main Street
Shellbrook SK  S0J 2E0",1 306 787-0885,
Saskatchewan Rivers,MLA,Nadine Wilson,Nadine,Wilson,,Saskatchewan Party,saskatchewanrivers@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/352fdfe3-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Nadine-Wilson/,,,,,,,constituency,"PO Box 4, RR #5, Site 16
Prince Albert SK  S6V 5R3",1 306 798-3174,
Saskatoon Centre,MLA,David Forbes,David,Forbes,,New Democratic Party,saskatooncentre@ndpcaucus.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/1b1efcf0-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/David-Forbes/,,,,,,,constituency,"904D 22nd St. W.
Saskatoon SK  S7M 0S1",1 306 787-6247,
Saskatoon Churchill-Wildwood,MLA,Lisa Lambert,Lisa,Lambert,,Saskatchewan Party,lisalambert.mla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/e976d6f8-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Lisa-Lambert/,,,,,,,constituency,"1B - 270 Acadia Drive
Saskatoon SK  S7H 3V4",1 306 787-3174,
Saskatoon Eastview,MLA,Corey Tochor,Corey,Tochor,,Saskatchewan Party,ctochormlasaskatooneastview@gmail.com,http://www.legassembly.sk.ca/_entity/annotation/191efcf0-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Corey-Tochor/,,,,,,,constituency,"1 - 3012 Louise Street
Saskatoon SK  S7J 3L8",1 306 787-3174,
Saskatoon Fairview,MLA,Vicki Mowat,Vicki,Mowat,,New Democratic Party,saskatoonfairview@ndpcaucus.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/ea76d6f8-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Vicki-Mowat/,,,,,,,constituency,"#16 - 15 Worobetz Pl
Saskatoon SK  S7L 6R4",1 306 664-1090,
Saskatoon Meewasin,MLA,Ryan Meili,Ryan,Meili,,New Democratic Party,saskatoonmeewasin@ndpcaucus.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/2f2fdfe3-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Ryan-Meili/,,,,,,,constituency,"814 3rd Ave. N.
Saskatoon SK  S7K 2K2",1 306 787-6247,
Saskatoon Northwest,MLA,Gordon Wyant,Gordon,Wyant,,Saskatchewan Party,g.wyant.mla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/af13dafe-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Gordon-Wyant/,,,,,,,constituency,"14 – 2345 Avenue C North
Saskatoon SK  S7L 5Z5",1 306 787-6946,
Saskatoon Nutana,MLA,Cathy Sproule,Cathy,Sproule,,New Democratic Party,saskatoonnutana@ndpcaucus.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/ebf435ea-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Cathy-Sproule/,,,,,,,constituency,"621A Main St.
Saskatoon SK  S7H 0J8",1 306 787-6247,
Saskatoon Riversdale,MLA,Danielle Chartier,Danielle,Chartier,,New Democratic Party,saskatoonriversdale@ndpcaucus.sk.ca,http://www.legassembly.sk.ca/_entity/annotation/f3f435ea-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Danielle-Chartier/,,,,,,,constituency,"1030 Ave L. South
Saskatoon SK  S7M 2J5",1 306 787-6247,
Saskatoon Silverspring-Sutherland,MLA,Paul Merriman,Paul,Merriman,,Saskatchewan Party,office@paulmerriman.ca,http://www.legassembly.sk.ca/_entity/annotation/aa13dafe-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Paul-Merriman/,,,,,,,constituency,"211 - 3521 8th St. E.
Saskatoon SK  S7H 0W5",1 306 787-0656,
Saskatoon Southeast,MLA,Don Morgan,Don,Morgan,,Saskatchewan Party,mla@donmorgan.ca,http://www.legassembly.sk.ca/_entity/annotation/f0f435ea-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Don-Morgan/,,,,,,,constituency,"#109 - 3502 Taylor St. E.
Saskatoon SK  S7H 5H9",1 306 787-1232,
Saskatoon Stonebridge-Dakota,MLA,Bronwyn Eyre,Bronwyn,Eyre,,Saskatchewan Party,bronwyn.eyre.mla@sasktel.net,http://www.legassembly.sk.ca/_entity/annotation/1a1efcf0-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Bronwyn-Eyre/,,,,,,,constituency,"18 - 102 Cope Crescent
Saskatoon SK  S7T 0X2",1 306 798-2009,
Saskatoon University,MLA,Eric Olauson,Eric,Olauson,,Saskatchewan Party,ca@saskatoonuniversity.ca,http://www.legassembly.sk.ca/_entity/annotation/ee76d6f8-5fd0-e911-a864-000d3a31284c,http://www.legassembly.sk.ca/mlas/Eric-Olauson/,,,,,,,constituency,"Suite 1B - 270 Acadia Drive
Saskatoon SK  S7H 3V4",1 306 787-3174,
